OnSet desviation,Nominal_OD
0.0,none
-0.0360842698550427,none
-0.0428368478618092,none
-0.050939941469929,none
-0.0576925194766955,none
-0.0666059224456272,none
-0.0723760438239414,none
-0.0803811815794308,none
-0.08821417206728,none
-0.0960471625551291,none
-0.1038801530429782,del
-0.1114430404105567,del
-0.1187358246578645,del
-0.1265688151457136,del
-0.1341317025132922,del
-0.1419646930011412,del
-0.1465564460457424,del
-0.150878095970073,del
-0.1551997458944036,del
-0.1589811895781928,del
-0.1622224270214408,del
-0.1627626332619821,del
-0.1662739738255006,del
-0.1687049019079366,del
-0.1722162424714551,del
-0.1746471705538911,del
-0.1765378923957857,del
-0.1765378923957857,del
-0.1789688204782216,del
-0.1813997485606576,del
-0.1813997485606576,del
-0.1838306766430935,del
-0.1862616047255295,del
-0.1862616047255295,del
-0.1886925328079653,del
-0.1908533577701306,del
-0.1932842858525666,del
-0.1957152139350025,del
-0.1957152139350025,del
-0.1981461420174384,del
-0.2005770700998744,del
-0.2005770700998744,del
-0.2030079981823104,del
-0.2054389262647463,del
-0.2054389262647463,del
-0.2078698543471822,del
-0.2103007824296181,del
-0.2127317105120541,del
-0.2140822261134074,del
-0.2140822261134074,del
-0.215972947955302,del
-0.2184038760377379,del
-0.2184038760377379,del
-0.2208348041201738,del
-0.2232657322026098,del
-0.2232657322026098,del
-0.2243461446836924,del
-0.2267770727661284,del
-0.2292080008485643,del
-0.2316389289310003,del
-0.2316389289310003,del
-0.2340698570134363,del
-0.2365007850958721,del
-0.2365007850958721,del
-0.2389317131783081,del
-0.2413626412607439,del
-0.2413626412607439,del
-0.2435234662229093,del
-0.2459543943053452,del
-0.2483853223877812,del
-0.250816250470217,del
-0.250816250470217,del
-0.2532471785526531,del
-0.255678106635089,del
-0.255678106635089,del
-0.2586492409580662,del
-0.2610801690405022,del
-0.2610801690405022,del
-0.2635110971229382,del
-0.265942025205374,del
-0.2683729532878099,del
-0.2708038813702459,del
-0.2708038813702459,del
-0.2745853250540352,del
-0.2767461500162005,del
-0.2767461500162005,del
-0.2791770780986363,del
-0.2816080061810723,del
-0.2816080061810723,del
-0.2840389342635083,del
-0.2859563186451721,del
-0.2908181748100439,del
-0.2908181748100439,del
-0.2908181748100439,del
-0.2908181748100439,del
-0.2956800309749158,del
-0.2956800309749158,del
-0.2956800309749158,del
-0.2956800309749158,del
-0.2884168073695261,del
-0.2884168073695261,del
-0.2884168073695261,del
-0.2884168073695261,del
-0.2926405014412262,del
-0.2911207366743814,del
-0.2911207366743814,del
-0.2911207366743814,del
-0.2911207366743814,del
-0.2832668798510608,del
-0.2832668798510608,del
-0.2832668798510608,del
-0.2832668798510608,del
-0.2717799621739707,del
-0.2717799621739707,del
-0.2717799621739707,del
-0.2717799621739707,del
-0.2411481817017308,del
-0.2207269947202375,del
-0.2207269947202375,del
-0.2207269947202375,del
-0.2207269947202375,del
-0.2041347802977742,del
-0.2041347802977742,del
-0.2041347802977742,del
-0.2041347802977742,del
-0.1881807279684825,del
-0.1881807279684825,del
-0.1881807279684825,del
-0.1881807279684825,del
-0.1764741341485115,del
-0.1730398831021519,del
-0.1730398831021519,del
-0.1730398831021519,del
-0.1730398831021519,del
-0.160178685386088,del
-0.160178685386088,del
-0.160178685386088,del
-0.160178685386088,del
-0.1486917677089981,del
-0.1486917677089981,del
-0.1486917677089981,del
-0.1486917677089981,del
-0.1104020421186982,del
-0.0274409700063816,none
-0.0274409700063816,none
