Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS,Nominal
22.0,0.4979166666666667,1.0,70.0,88.0,19.458321995464853,0.2081088435374137,4/4,4,4,1,G,major,143.55468750000085,5.291647995464853,0.0006433997874137,0.0771019093976731,P
22.5,0.4979166666666667,1.0,71.0,88.0,19.667301587301587,0.2081088435374137,4/4,4,4,1,G,major,143.55468750000085,5.2922940873015865,0.0006433997874137,0.071019428499778,P
23.0,0.9979166666666668,1.0,71.0,88.0,19.87628117913832,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,5.29294017913832,0.0012894916241472,0.0990553070217147,F
23.0,0.4979166666666667,1.0,71.0,88.0,19.87628117913832,0.3468480725623628,4/4,4,4,1,G,major,86.13281249999888,5.29294017913832,0.1393826288123627,0.1019149425756387,F
23.5,0.4979166666666667,1.0,71.0,88.0,20.224580498866214,0.2312320483749065,4/4,4,4,1,G,major,129.19921874999943,5.432905998866215,0.0237666046249065,0.0815086085431404,P
24.0,3.997916666666667,1.0,52.0,88.0,20.45678004535148,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085,5.456772045351476,0.0051660426445478,0.0806612463837448,P
24.5,0.4979166666666667,1.0,71.0,88.0,20.66575963718821,0.2081088435374137,4/4,4,4,1,G,major,143.55468750000085,5.45741813718821,0.0006433997874137,0.0538833501624741,P
25.0,0.9979166666666668,1.0,70.0,88.0,20.874739229024943,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,5.458064229024943,0.0012894916241472,0.0714836487761163,P
25.0,0.4979166666666667,1.0,70.0,88.0,20.874739229024943,0.3468480725623598,4/4,4,4,1,G,major,86.13281249999963,5.458064229024943,0.1393826288123597,0.0722518747343325,P
25.5,0.4979166666666667,1.0,71.0,88.0,21.22303854875284,0.2081088435374137,4/4,4,4,1,G,major,143.55468750000085,5.598030048752836,0.0006433997874137,0.0759717882404084,P
26.0,0.9979166666666668,1.0,69.0,88.0,21.43201814058957,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,5.5986761405895695,0.0012894916241472,0.0773455719239041,P
26.0,0.4979166666666667,1.0,69.0,88.0,21.43201814058957,0.2081088435374137,4/4,4,4,1,G,major,143.55468750000085,5.5986761405895695,0.0006433997874137,0.0573363560370845,P
26.5,0.4979166666666667,1.0,71.0,88.0,21.640997732426303,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,5.599322232426303,0.0006433997874155,0.0932645406029095,F
27.0,0.9979166666666668,1.0,67.0,88.0,21.84997732426304,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,5.599968324263038,0.0012894916241508,0.1065242067375088,F
27.0,0.4979166666666667,1.0,67.0,88.0,21.84997732426304,0.3468480725623568,4/4,4,4,1,G,major,86.13281250000036,5.599968324263038,0.1393826288123568,0.1110801328829497,F
27.5,0.4979166666666667,1.0,71.0,88.0,22.19827664399093,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,5.739934143990929,0.0006433997874119,0.0761551434094002,P
28.0,3.997916666666667,1.0,52.0,88.0,22.407256235827663,1.670965986394591,4/4,4,4,1,G,major,143.55468749999716,5.740580235827661,0.0051660426445907,0.0949804069546605,F
28.5,0.4979166666666667,1.0,71.0,88.0,22.6162358276644,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,5.7412263276644,0.0006433997874155,0.0816989455465897,P
29.0,0.9979166666666668,1.0,71.0,88.0,22.82521541950113,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,5.741872419501135,0.0012894916241508,0.1041505955567063,F
29.0,0.4979166666666667,1.0,71.0,88.0,22.82521541950113,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,5.741872419501135,0.0006433997874119,0.1153500432346964,F
