Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS,Nominal
23.5,0.4979166666666667,1.0,71.0,88.0,22.45369614512472,0.7168193499622053,4/4,4,4,1,G,major,41.67716733870978,7.662021645124717,0.5093539062122053,0.0404039151169012,P
24.0,3.997916666666667,1.0,52.0,88.0,23.173514739229024,1.8566288737717391,4/4,4,4,1,G,major,129.19921874999943,8.173506739229024,0.1908289300217389,0.06977816304466,P
24.5,0.4979166666666667,1.0,71.0,88.0,23.40571428571429,0.2312320483749065,4/4,4,4,1,G,major,129.19921874999943,8.197372785714286,0.0237666046249065,0.0271796220512527,P
25.0,0.9979166666666668,1.0,70.0,88.0,23.637913832199548,0.4634315948601682,4/4,4,4,1,G,major,129.19921874999943,8.221238832199548,0.0476326511101682,0.0720512372020834,P
25.0,0.4979166666666667,1.0,70.0,88.0,23.637913832199548,0.7168193499622053,4/4,4,4,1,G,major,41.67716733870978,8.221238832199548,0.5093539062122053,0.0667587821802289,P
25.5,0.4979166666666667,1.0,71.0,88.0,24.35773242630385,0.2543552532123957,4/4,4,4,1,G,major,117.45383522727288,8.732723926303855,0.0468898094623957,0.0332396058424955,P
26.0,0.9979166666666668,1.0,69.0,88.0,24.61315192743764,0.5097747543461822,4/4,4,4,1,G,major,117.45383522727288,8.779809927437642,0.0939758105961822,0.1056274125184452,F
26.0,0.4979166666666667,1.0,69.0,88.0,24.61315192743764,0.7861889644746766,4/4,4,4,1,G,major,37.99977022058834,8.779809927437642,0.5787235207246766,0.0919263508829012,F
26.5,0.4979166666666667,1.0,71.0,88.0,25.402630385487527,0.5549569160997784,4/4,4,4,1,G,major,53.8330078124995,9.360954885487526,0.3474914723497784,0.0754850313422244,P
27.0,0.9979166666666668,1.0,67.0,88.0,25.959909297052157,1.112235827664409,4/4,4,4,1,G,major,53.83300781249951,9.709900297052156,0.6964368839144093,0.0432906811307854,P
27.0,0.4979166666666667,1.0,67.0,88.0,25.959909297052157,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,9.709900297052156,0.0006433997874155,0.0471020561989798,P
27.5,0.4979166666666667,1.0,71.0,88.0,26.16888888888889,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,9.71054638888889,0.0006433997874119,0.0404641638256355,P
28.0,3.997916666666667,1.0,52.0,88.0,26.377868480725624,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,9.711192480725622,0.0051660426445623,0.0577966029257358,P
