Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
10.0,1.9979166666666666,1.0,78.0,49.0,9.891700680272109,1.391746031746031,4/4,4,4,1,G,major,86.13281250000004,3.225030680272109,0.05980092132936443,0.019462511427320424
11.0,0.9979166666666667,1.0,67.0,49.0,10.588299319727891,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,3.254962319727891,0.006697702130573635,0.013807002926925565
12.0,0.9979166666666667,1.0,76.0,49.0,11.261678004535147,0.950034769463343,4/4,4,4,1,G,major,63.02400914634133,3.2616740045351467,0.28475665904667624,0.03133418580479692
13.0,0.9979166666666667,1.0,72.0,49.0,12.213696145124716,0.6488042328042334,4/4,4,4,1,G,major,92.28515624999991,3.5470251451247172,-0.016473877612433352,0.029641550133021267
14.0,1.9979166666666666,1.0,76.0,49.0,12.863854875283447,1.9948359788359762,4/4,4,4,1,G,major,60.092659883721005,3.530516875283448,0.6628908684193096,0.023929340080739898
15.0,0.9979166666666667,1.0,62.0,49.0,13.862312925170068,0.9036916099773246,4/4,4,4,1,G,major,66.2560096153846,3.862307925170068,0.23841349956065783,0.018495797898012256
16.0,0.4979166666666667,1.0,76.0,49.0,14.767891156462586,0.43934089191232045,4/4,4,4,1,G,major,67.99958881578948,4.1012191564625855,0.10739628149565378,0.03813774254011053
16.5,0.4979166666666667,1.0,72.0,54.0,15.209070294784581,0.3468480725623581,4/4,4,4,1,G,major,86.13281250000004,4.209064794784581,0.014903462145691437,0.06401532224120267
17.0,0.4979166666666667,1.0,67.0,60.0,15.557369614512472,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,4.224030614512472,-0.008219742691799536,0.054604438588219166
17.5,0.4979166666666667,1.0,62.0,65.0,15.882448979591837,0.32372486772486886,4/4,4,4,1,G,major,92.28515624999969,4.215776479591836,-0.008219742691797816,0.07570532825603492
18.0,0.4979166666666667,1.0,67.0,71.0,16.207528344671204,0.1387392290249433,4/4,4,4,1,G,major,215.33203125000003,4.207522344671203,-0.19320538139172339,0.07313823864343462
18.5,0.4979166666666667,1.0,62.0,76.0,16.34684807256236,0.2774784580498851,4/4,4,4,1,G,major,107.6660156250006,4.01350857256236,-0.054466152366781595,0.06376921516013026
19.0,0.4979166666666667,1.0,57.0,82.0,16.62548752834467,0.2543552532123959,4/4,4,4,1,G,major,117.45383522727282,3.9588145283446714,-0.07758935720427079,0.06394915597407583
19.5,0.4979166666666667,1.0,58.0,88.0,16.880907029478458,0.3468480725623599,4/4,4,4,1,G,major,86.1328124999996,3.880900529478458,0.014903462145693214,0.08573031053126623
20.0,3.997916666666667,1.0,52.0,88.0,17.22920634920635,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085,3.8958663492063508,0.005166042644547897,0.10406268045407983
20.5,0.4979166666666667,1.0,71.0,88.0,17.438185941043084,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,3.8965124410430843,0.0006433997874137343,0.10297885186202299
21.0,0.9979166666666667,1.0,71.0,88.0,17.647165532879818,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,3.8971585328798177,0.0012894916241472099,0.10908954205017621
21.0,0.4979166666666667,1.0,71.0,88.0,17.647165532879818,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,3.8971585328798177,0.000643399787417287,0.11739672052385264
21.5,0.4979166666666667,1.0,71.0,88.0,17.856145124716555,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,3.8978046247165548,0.0006433997874137343,0.09986019008001037
22.0,0.9979166666666667,1.0,70.0,88.0,18.06512471655329,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,3.8984507165532882,0.0012894916241472099,0.11985013676349907
