Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS,Nominal
0.0,0.9979166666666668,1.0,83.0,49.0,1.0448979591836736,0.7414905517762661,4/4,4,4,1,G,major,80.74951171875,1.0448979591836736,0.0762124413595993,0.018485442879039,N
1.0,0.9979166666666668,1.0,79.0,49.0,1.787936507936508,0.6719758125472409,4/4,4,4,1,G,major,89.10290948275865,1.1212695079365078,0.0066977021305741,0.0265855188038227,P
2.0,0.9979166666666668,1.0,83.0,49.0,2.461315192743764,1.0195495086923658,4/4,4,4,1,G,major,58.72691761363636,1.127981192743764,0.3542713982756991,0.0365258245248566,P
3.0,0.9979166666666668,1.0,79.0,49.0,3.4829931972789114,0.6488042328042334,4/4,4,4,1,G,major,92.28515624999991,1.4829921972789113,-0.0164738776124333,0.0194291157667074,P
4.0,0.9979166666666668,1.0,81.0,49.0,4.133151927437642,0.8341768707482989,4/4,4,4,1,G,major,71.77734375000004,1.466483927437642,0.1688987603316322,0.024961027482633,P
5.0,0.9979166666666668,1.0,76.0,49.0,4.96907029478458,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586,1.6357352947845802,0.0066977021305745,0.0208385502447525,P
6.0,0.9979166666666668,1.0,81.0,49.0,5.642448979591837,0.741490551776267,4/4,4,4,1,G,major,80.74951171874989,1.6424469795918366,0.0762124413596002,0.0181105474487619,P
7.0,0.9979166666666668,1.0,76.0,49.0,6.385487528344672,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,1.7188185283446715,0.0066977021305736,0.0106095612715729,P
8.0,0.9979166666666668,1.0,78.0,49.0,7.058866213151927,0.7646621315192739,4/4,4,4,1,G,major,78.30255681818187,1.7255302131519272,0.0993840211026071,0.0398594905940122,P
9.0,0.9979166666666668,1.0,74.0,49.0,7.825124716553288,0.6719758125472421,4/4,4,4,1,G,major,89.10290948275848,1.8251217165532871,0.0066977021305754,0.0261424209500994,P
10.0,1.9979166666666663,1.0,78.0,49.0,8.498503401360544,1.484529100529098,4/4,4,4,1,G,major,80.74951171875011,1.8318334013605444,0.1525839901124315,0.0410283547308385,P
11.0,0.9979166666666668,1.0,67.0,49.0,9.241541950113378,0.6256326530612246,4/4,4,4,1,G,major,95.703125,1.9082049501133775,-0.0396454573554421,0.0350783404565326,P
12.0,0.9979166666666668,1.0,76.0,49.0,9.868480725623582,0.8341768707483023,4/4,4,4,1,G,major,71.77734374999974,1.868476725623582,0.1688987603316355,0.0394297453630824,P
13.0,0.9979166666666668,1.0,72.0,49.0,10.704399092970522,0.6488042328042316,4/4,4,4,1,G,major,92.28515625000016,2.0377280929705237,-0.0164738776124351,0.0303362310756721,P
14.0,1.9979166666666663,1.0,76.0,49.0,11.354557823129252,1.4381375661375664,4/4,4,4,1,G,major,83.35433467741933,2.021219823129252,0.1061924557208997,0.0392308361401804,P
15.0,0.9979166666666668,1.0,62.0,49.0,12.07437641723356,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,2.0743714172335608,0.0066977021305736,0.0308941600386378,P
