Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
0.0,0.9979166666666667,1.0,83.0,49.0,0.905578231292517,1.019549508692366,4/4,4,4,1,G,major,58.726917613636346,0.905578231292517,0.3542713982756993,0.026792564045440632
1.0,0.9979166666666667,1.0,79.0,49.0,1.9272562358276644,0.5792894935752078,4/4,4,4,1,G,major,103.35937500000001,1.2605892358276645,-0.08598861684145898,0.014101283301205273
2.0,0.9979166666666667,1.0,83.0,49.0,2.507755102040816,0.9036916099773246,4/4,4,4,1,G,major,66.2560096153846,1.1744211020408162,0.23841349956065783,0.037113620311005596
3.0,0.9979166666666667,1.0,79.0,49.0,3.4133333333333336,0.6488042328042325,4/4,4,4,1,G,major,92.28515625000004,1.4133323333333334,-0.01647387761243424,0.021207978829571126
4.0,0.9979166666666667,1.0,81.0,49.0,4.063492063492063,0.8110052910052918,4/4,4,4,1,G,major,73.82812499999991,1.3968240634920632,0.1457271805886251,0.023964750240341025
5.0,0.9979166666666667,1.0,76.0,49.0,4.876190476190477,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,1.5428554761904767,0.006697702130573635,0.018965318814904642
6.0,0.9979166666666667,1.0,81.0,49.0,5.5495691609977325,0.741490551776267,4/4,4,4,1,G,major,80.74951171874989,1.5495671609977322,0.07621244135960026,0.019478164250548505
7.0,0.9979166666666667,1.0,76.0,49.0,6.292607709750567,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,1.6259387097505673,0.006697702130573635,0.01888064923163266
8.0,0.9979166666666667,1.0,78.0,49.0,6.965986394557823,0.8341768707482993,4/4,4,4,1,G,major,71.77734375,1.6326503945578228,0.16889876033163254,0.02091969023025422
9.0,0.9979166666666667,1.0,74.0,49.0,7.801904761904762,0.926863189720333,4/4,4,4,1,G,major,64.59960937499997,1.8019017619047615,0.26158507930366626,0.022695132856523883
10.0,1.9979166666666666,1.0,78.0,49.0,8.730702947845804,1.298962962962964,4/4,4,4,1,G,major,92.28515624999991,2.0640329478458046,-0.03298214745370265,0.011984858222642768
11.0,0.9979166666666667,1.0,67.0,49.0,9.380861678004536,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,2.0475246780045353,0.006697702130573635,0.011896032730167651
12.0,0.9979166666666667,1.0,76.0,49.0,10.054240362811791,0.8341768707483006,4/4,4,4,1,G,major,71.77734374999989,2.054236362811791,0.16889876033163387,0.019340137750288103
13.0,0.9979166666666667,1.0,72.0,49.0,10.89015873015873,0.6488042328042334,4/4,4,4,1,G,major,92.28515624999991,2.2234877301587304,-0.016473877612433352,0.0206191292305035
14.0,1.9979166666666666,1.0,76.0,49.0,11.54031746031746,1.4381375661375664,4/4,4,4,1,G,major,83.35433467741933,2.206979460317461,0.10619245572089975,0.019179119601289412
15.0,0.9979166666666667,1.0,62.0,49.0,12.26013605442177,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,2.2601310544217696,0.006697702130573635,0.012582260024961302
16.0,0.4979166666666667,1.0,76.0,49.0,12.933514739229025,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.266842739229025,-0.008219742691799536,0.03236879613450087
16.5,0.4979166666666667,1.0,72.0,54.0,13.25859410430839,0.27747845804988686,4/4,4,4,1,G,major,107.6660156249999,2.2585886043083896,-0.05446615236677982,0.07395370038898473
17.0,0.4979166666666667,1.0,67.0,60.0,13.537233560090703,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.2038945600907027,-0.008219742691799536,0.08181189499536871
17.5,0.4979166666666667,1.0,62.0,65.0,13.862312925170068,0.04624640967498203,4/4,4,4,1,G,major,645.9960937499872,2.195640425170067,-0.2856982007416846,0.13029673488839902
18.0,0.4979166666666667,1.0,67.0,71.0,13.908752834467121,0.02312320483748937,4/4,4,4,1,G,major,1291.9921875000662,1.9087468344671201,-0.3088214055791773,0.08812907797669808
18.5,0.4979166666666667,1.0,62.0,76.0,13.931972789115646,0.27747845804988686,4/4,4,4,1,G,major,107.6660156249999,1.5986332891156465,-0.05446615236677982,0.07120170054760205
19.0,0.4979166666666667,1.0,57.0,82.0,14.210612244897959,0.18498563869992457,4/4,4,4,1,G,major,161.49902343749986,1.5439392448979596,-0.1469589717167421,0.10535333892734558
19.5,0.4979166666666667,1.0,58.0,88.0,14.396371882086168,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,1.3963653820861683,-0.008219742691799536,0.08007290596097345
20.0,3.997916666666667,1.0,52.0,88.0,14.721451247165533,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,1.3881112471655328,0.00516604264456233,0.08063808247897027
20.5,0.4979166666666667,1.0,71.0,88.0,14.930430839002268,0.1156160241874515,4/4,4,4,1,G,major,258.39843750000284,1.388757339002268,-0.09184941956254851,0.07865176939447299
21.0,0.9979166666666667,1.0,71.0,88.0,15.046530612244897,0.23171579743008058,4/4,4,4,1,G,major,258.3984375000029,1.296523612244897,-0.1840831463199194,0.10919871426236114
21.0,0.4979166666666667,1.0,71.0,88.0,15.046530612244897,0.1618624338624353,4/4,4,4,1,G,major,184.57031249999838,1.296523612244897,-0.045603009887564716,0.1183123130465883
21.5,0.4979166666666667,1.0,71.0,88.0,15.209070294784581,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.250729794784581,0.0006433997874137343,0.07488293878200093
22.0,0.9979166666666667,1.0,70.0,88.0,15.418049886621315,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.2513758866213145,0.0012894916241472099,0.08665114475402003
22.0,0.4979166666666667,1.0,70.0,88.0,15.418049886621315,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.2513758866213145,0.0006433997874155384,0.10437406662256307
22.5,0.4979166666666667,1.0,71.0,88.0,15.62702947845805,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.2520219784580497,0.0006433997874137343,0.06435252511053524
23.0,0.9979166666666667,1.0,71.0,88.0,15.836009070294784,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.2526680702947832,0.0012894916241472099,0.06599624638489476
23.0,0.4979166666666667,1.0,71.0,88.0,15.836009070294784,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,1.2526680702947832,0.000643399787417287,0.06688837476434442
23.5,0.4979166666666667,1.0,71.0,88.0,16.04498866213152,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991,1.2533141621315202,-0.02247980505007549,0.06459234520755769
24.0,3.997916666666667,1.0,52.0,88.0,16.23074829931973,1.1139773242630322,4/4,4,4,1,G,major,215.33203125000122,1.230740299319729,-0.551822619486968,0.09711216586708771
24.5,0.4979166666666667,1.0,71.0,88.0,16.370068027210884,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.1617265272108845,0.0006433997874137343,0.07235539024585073
25.0,0.9979166666666667,1.0,70.0,88.0,16.579047619047618,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.162372619047618,0.0012894916241472099,0.0916760069320798
25.0,0.4979166666666667,1.0,70.0,88.0,16.579047619047618,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,1.162372619047618,0.000643399787417287,0.09195121005257734
25.5,0.4979166666666667,1.0,71.0,88.0,16.788027210884355,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.163018710884355,0.0006433997874137343,0.09130792773595858
26.0,0.9979166666666667,1.0,69.0,88.0,16.99700680272109,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.1636648027210885,0.0012894916241472099,0.12317151252799323
26.0,0.4979166666666667,1.0,69.0,88.0,16.99700680272109,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.1636648027210885,0.0006433997874137343,0.12419521393783754
26.5,0.4979166666666667,1.0,71.0,88.0,17.205986394557822,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,1.164310894557822,0.0006433997874190911,0.12220472704924706
27.0,0.9979166666666667,1.0,67.0,88.0,17.41496598639456,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972,1.1649569863945608,0.0012894916241579235,0.07155029301379895
27.0,0.4979166666666667,1.0,67.0,88.0,17.41496598639456,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,1.1649569863945608,0.0006433997874119857,0.08163927912406783
