Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
11.0,0.9979166666666667,1.0,67.0,49.0,9.102222222222222,0.5097747543461826,4/4,4,4,1,G,major,117.4538352272728,1.768885222222222,-0.15550335607048416,0.0037143972152258683
12.0,0.9979166666666667,1.0,76.0,49.0,9.613061224489796,0.7414905517762687,4/4,4,4,1,G,major,80.74951171874972,1.6130572244897952,0.07621244135960192,0.017288576807679076
13.0,0.9979166666666667,1.0,72.0,49.0,10.356099773242631,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,1.689428773242632,0.006697702130573635,0.017845522269364422
14.0,1.9979166666666666,1.0,76.0,49.0,11.029478458049887,1.4381375661375628,4/4,4,4,1,G,major,83.35433467741953,1.6961404580498876,0.1061924557208962,0.011753308280491348
15.0,0.9979166666666667,1.0,62.0,49.0,11.749297052154194,0.8805200302343159,4/4,4,4,1,G,major,67.99958881578948,1.7492920521541944,0.21524191981764917,0.014918527625886606
16.0,0.4979166666666667,1.0,76.0,49.0,12.631655328798185,0.3930944822373401,4/4,4,4,1,G,major,75.99954044117634,1.9649833287981853,0.06114987182067344,0.020962632389250148
16.5,0.4979166666666667,1.0,72.0,54.0,13.02639455782313,0.3468480725623581,4/4,4,4,1,G,major,86.13281250000004,2.0263890578231294,0.014903462145691437,0.015776396044072268
17.0,0.4979166666666667,1.0,67.0,60.0,13.374693877551021,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.0413548775510204,-0.008219742691799536,0.012728124657191253
17.5,0.4979166666666667,1.0,62.0,65.0,13.699773242630386,0.2543552532123959,4/4,4,4,1,G,major,117.45383522727282,2.033100742630385,-0.07758935720427079,0.01569562617397528
18.0,0.4979166666666667,1.0,67.0,71.0,13.955192743764172,0.32372486772486886,4/4,4,4,1,G,major,92.28515624999969,1.9551867437641715,-0.008219742691797816,0.02428773200035468
18.5,0.4979166666666667,1.0,62.0,76.0,14.280272108843537,0.32372486772486886,4/4,4,4,1,G,major,92.28515624999969,1.9469326088435377,-0.008219742691797816,0.01472407244569338
19.0,0.4979166666666667,1.0,57.0,82.0,14.605351473922903,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,1.938678473922904,-0.008219742691799536,0.04606743532199673
19.5,0.4979166666666667,1.0,58.0,88.0,14.930430839002268,0.3468480725623581,4/4,4,4,1,G,major,86.13281250000004,1.9304243390022684,0.014903462145691437,0.010481101094422648
20.0,3.997916666666667,1.0,52.0,88.0,15.27873015873016,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085,1.9453901587301594,0.005166042644547897,0.03730563325867213
20.5,0.4979166666666667,1.0,71.0,88.0,15.487709750566893,0.11561602418745327,4/4,4,4,1,G,major,258.39843749999886,1.9460362505668929,-0.09184941956254673,0.02057390662732618
21.0,0.9979166666666667,1.0,71.0,88.0,15.603809523809524,0.23171579743008414,4/4,4,4,1,G,major,258.39843749999886,1.8538025238095237,-0.18408314631991585,0.024375776456254952
21.0,0.4979166666666667,1.0,71.0,88.0,15.603809523809524,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.8538025238095237,0.0006433997874155384,0.02451612647098538
21.5,0.4979166666666667,1.0,71.0,88.0,15.81278911564626,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.854448615646259,0.0006433997874155384,0.05003613022591749
22.0,0.9979166666666667,1.0,70.0,88.0,16.021768707482995,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.8550947074829942,0.001289491624150818,0.0401796553889114
22.0,0.4979166666666667,1.0,70.0,88.0,16.021768707482995,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.8550947074829942,0.0006433997874137343,0.03952304578208683
22.5,0.4979166666666667,1.0,71.0,88.0,16.23074829931973,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.8557407993197277,0.0006433997874137343,0.04083495712434989
23.0,0.9979166666666667,1.0,71.0,88.0,16.439727891156462,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.8563868911564612,0.0012894916241472099,0.04214358179241202
