Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
0.0,0.9979166666666667,1.0,83.0,49.0,0.9287981859410431,1.6220105820105823,4/4,4,4,1,G,major,36.91406249999999,0.9287981859410431,0.9567324715939156,0.035369317456098295
1.0,0.9979166666666667,1.0,79.0,49.0,2.5541950113378684,0.9732063492063493,4/4,4,4,1,G,major,61.5234375,1.8875280113378685,0.30792823878968256,0.018064771874807487
2.0,0.9979166666666667,1.0,83.0,49.0,3.5294331065759637,1.6683537414965985,4/4,4,4,1,G,major,35.888671875,2.1960991065759634,1.0030756310799318,0.018169276464132446
3.0,0.9979166666666667,1.0,79.0,49.0,5.201269841269841,0.9732063492063499,4/4,4,4,1,G,major,61.52343749999996,3.201268841269841,0.3079282387896831,0.011244270058548948
4.0,0.9979166666666667,1.0,81.0,49.0,6.176507936507937,1.6683537414965988,4/4,4,4,1,G,major,35.888671875,3.509839936507937,1.003075631079932,0.03013602675270355
5.0,0.9979166666666667,1.0,76.0,49.0,7.848344671201814,0.6951473922902482,4/4,4,4,1,G,major,86.13281250000014,4.515009671201814,0.02986928187358151,0.02073992999615986
6.0,0.9979166666666667,1.0,81.0,49.0,8.544943310657596,1.8768979591836763,4/4,4,4,1,G,major,31.90104166666662,4.544941310657595,1.2116198487670096,0.023025595099721432
7.0,0.9979166666666667,1.0,76.0,49.0,10.425759637188209,1.3439516250944807,4/4,4,4,1,G,major,44.55145474137936,5.759090637188209,0.678673514677814,0.020079170158348945
8.0,0.9979166666666667,1.0,78.0,49.0,11.77251700680272,1.158578987150416,4/4,4,4,1,G,major,51.679687499999986,6.439181006802721,0.4933008767337492,0.022137625894563973
9.0,0.9979166666666667,1.0,74.0,49.0,12.933514739229025,1.3207800453514755,4/4,4,4,1,G,major,45.33305921052626,6.933511739229025,0.6555019349348088,0.026648195742272326
10.0,1.9979166666666666,1.0,78.0,49.0,14.257052154195012,2.5979259259259244,4/4,4,4,1,G,major,46.14257812500003,7.590382154195012,1.2659808155092578,0.0258984374151485
11.0,0.9979166666666667,1.0,67.0,49.0,15.557369614512472,1.065892668178381,4/4,4,4,1,G,major,56.173573369565304,8.224032614512472,0.4006145577617142,0.02076590605725135
12.0,0.9979166666666667,1.0,76.0,49.0,16.62548752834467,1.3902947845805023,4/4,4,4,1,G,major,43.06640624999989,8.62548352834467,0.7250166741638355,0.023920581085594035
13.0,0.9979166666666667,1.0,72.0,49.0,18.018684807256236,1.1122358276644002,4/4,4,4,1,G,major,53.83300781249994,9.352013807256236,0.4469577172477335,0.038066065156015225
14.0,1.9979166666666666,1.0,76.0,49.0,19.13324263038549,2.6907089947089915,4/4,4,4,1,G,major,44.55145474137936,9.79990463038549,1.3587638842923249,0.020801442176070186
15.0,0.9979166666666667,1.0,62.0,49.0,20.48,1.042721088435372,4/4,4,4,1,G,major,57.42187500000012,10.479995,0.3774429780187052,0.009305605998146017
16.0,0.4979166666666667,1.0,76.0,49.0,21.524897959183672,0.7399425547996983,4/4,4,4,1,G,major,40.374755859374964,10.858225959183672,0.4079979443830316,0.025736567063895086
16.5,0.4979166666666667,1.0,72.0,54.0,22.267936507936508,0.5087105064247918,4/4,4,4,1,G,major,58.72691761363641,11.267931007936507,0.1767658960081251,0.0649725176891065
17.0,0.4979166666666667,1.0,67.0,60.0,22.77877551020408,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,11.44543651020408,-0.008219742691799536,0.04084273934755728
17.5,0.4979166666666667,1.0,62.0,65.0,23.103854875283446,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,11.437182375283445,-0.008219742691799536,0.05045052769708998
18.0,0.4979166666666667,1.0,67.0,71.0,23.42893424036281,0.18498563869992557,4/4,4,4,1,G,major,161.49902343749898,11.42892824036281,-0.1469589717167411,0.06281395996290302
18.5,0.4979166666666667,1.0,62.0,76.0,23.61469387755102,0.3006016628873779,4/4,4,4,1,G,major,99.38401442307668,11.28135437755102,-0.03134294752928879,0.06268127251037735
19.0,0.4979166666666667,1.0,57.0,82.0,23.91655328798186,0.20810884353741382,4/4,4,4,1,G,major,143.5546875000008,11.24988028798186,-0.12383576687925285,0.06593312621640691
19.5,0.4979166666666667,1.0,58.0,88.0,24.125532879818593,0.2543552532123959,4/4,4,4,1,G,major,117.45383522727282,11.125526379818593,-0.07758935720427079,0.04552916346555292
20.0,3.997916666666667,1.0,52.0,88.0,24.38095238095238,1.6709659863945767,4/4,4,4,1,G,major,143.55468749999838,11.04761238095238,0.005166042644576541,0.10472947805691087
20.5,0.4979166666666667,1.0,71.0,88.0,24.589931972789117,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991,11.048258472789117,-0.02247980505007549,0.04748619261361264
21.0,0.9979166666666667,1.0,71.0,88.0,24.775691609977326,0.3707452758881332,4/4,4,4,1,G,major,161.49902343749991,11.025684609977326,-0.045053667861866764,0.08725957140137446
21.0,0.4979166666666667,1.0,71.0,88.0,24.775691609977326,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,11.025684609977326,0.0006433997874137343,0.07416164026557451
21.5,0.4979166666666667,1.0,71.0,88.0,24.98467120181406,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,11.026330701814059,0.0006433997874137343,0.1125975501150326
22.0,0.9979166666666667,1.0,70.0,88.0,25.193650793650793,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,11.026976793650793,0.0012894916241472099,0.11566906446446709
22.0,0.4979166666666667,1.0,70.0,88.0,25.193650793650793,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,11.026976793650793,0.0006433997874137343,0.12403440485471671
22.5,0.4979166666666667,1.0,71.0,88.0,25.402630385487527,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,11.027622885487526,0.000643399787417287,0.10684900452770588
23.0,0.9979166666666667,1.0,71.0,88.0,25.611609977324264,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,11.028268977324263,0.0012894916241543153,0.14011967103888445
23.0,0.4979166666666667,1.0,71.0,88.0,25.611609977324264,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,11.028268977324263,0.0006433997874155384,0.1654585103789888
23.5,0.4979166666666667,1.0,71.0,88.0,25.820589569160997,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991,11.028915069160998,-0.02247980505007549,0.11147055976621069
24.0,3.997916666666667,1.0,52.0,88.0,26.006349206349206,1.1139773242630322,4/4,4,4,1,G,major,215.33203125000122,11.006341206349207,-0.551822619486968,0.09992811354593778
24.5,0.4979166666666667,1.0,71.0,88.0,26.145668934240362,0.1618624338624353,4/4,4,4,1,G,major,184.57031249999838,10.937327434240363,-0.045603009887564716,0.08527133424265904
25.0,0.9979166666666667,1.0,70.0,88.0,26.308208616780046,0.3244021164021192,4/4,4,4,1,G,major,184.57031249999844,10.891533616780047,-0.0913968273478808,0.0999820253101269
25.0,0.4979166666666667,1.0,70.0,88.0,26.308208616780046,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,10.891533616780047,0.0006433997874137343,0.10050464513474978
25.5,0.4979166666666667,1.0,71.0,88.0,26.51718820861678,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,10.89217970861678,0.0006433997874137343,0.10767674913973015
26.0,0.9979166666666667,1.0,69.0,88.0,26.726167800453513,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,10.892825800453513,0.0012894916241472099,0.11475276217009582
26.0,0.4979166666666667,1.0,69.0,88.0,26.726167800453513,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,10.892825800453513,0.000643399787417287,0.12892266718872342
26.5,0.4979166666666667,1.0,71.0,88.0,26.93514739229025,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.89347189229025,0.0006433997874155384,0.0984965009351955
27.0,0.9979166666666667,1.0,67.0,88.0,27.144126984126984,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,10.894117984126986,0.001289491624150818,0.06435231092886733
27.0,0.4979166666666667,1.0,67.0,88.0,27.144126984126984,0.0924928193499597,4/4,4,4,1,G,major,322.99804687500875,10.894117984126986,-0.1149726244000403,0.08305196571167743
27.5,0.4979166666666667,1.0,71.0,88.0,27.237006802721087,0.11561602418745227,4/4,4,4,1,G,major,258.3984375000011,10.778664302721086,-0.09184941956254773,0.03908532646286954
28.0,3.997916666666667,1.0,52.0,88.0,27.353106575963718,0.5569886621315209,4/4,4,4,1,G,major,430.66406249999875,10.686430575963715,-1.1088112816184794,0.09164748463445689
28.5,0.4979166666666667,1.0,71.0,88.0,27.422766439909296,0.06936961451247184,4/4,4,4,1,G,major,430.66406249999886,10.547756939909295,-0.13809582923752817,0.07498180027299171
29.0,0.9979166666666667,1.0,71.0,88.0,27.422766439909296,0.13902947845805025,4/4,4,4,1,G,major,430.66406249999886,10.339423439909297,-0.27676946529194973,0.07959478641853918
29.0,0.4979166666666667,1.0,71.0,88.0,27.422766439909296,0.13873922902494487,4/4,4,4,1,G,major,215.33203124999758,10.339423439909297,-0.06872621472505513,0.0796413078859398
29.5,0.4979166666666667,1.0,71.0,88.0,27.562086167800455,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.270409667800454,0.0006433997874155384,0.11079530393243466
30.0,0.9979166666666667,1.0,70.0,88.0,27.77106575963719,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,10.27105575963719,0.001289491624150818,0.11977743118047492
30.0,0.4979166666666667,1.0,70.0,88.0,27.77106575963719,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.27105575963719,0.0006433997874155384,0.11134864199899419
30.5,0.4979166666666667,1.0,71.0,88.0,27.980045351473922,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,10.271701851473924,0.0006433997874119857,0.1276752208845288
31.0,0.9979166666666667,1.0,71.0,88.0,28.189024943310656,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,10.272347943310656,0.0012894916241437127,0.0968681374415871
31.0,0.4979166666666667,1.0,71.0,88.0,28.189024943310656,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.272347943310656,0.0006433997874155384,0.1267547764991879
31.5,0.4979166666666667,1.0,71.0,88.0,28.398004535147393,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.272994035147391,0.0006433997874155384,0.052074936387788276
32.0,3.997916666666667,1.0,52.0,88.0,28.606984126984127,1.1139773242630417,4/4,4,4,1,G,major,215.33203124999937,10.273640126984127,-0.5518226194869584,0.10248414103490384
32.5,0.4979166666666667,1.0,71.0,88.0,28.746303854875283,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,10.204626354875284,0.0006433997874119857,0.05601587673270411
33.0,0.9979166666666667,1.0,74.0,88.0,28.955283446712016,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,10.205272446712016,0.0012894916241437127,0.12588449848311326
33.0,0.4979166666666667,1.0,74.0,88.0,28.955283446712016,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.205272446712016,0.0006433997874155384,0.11698279424785185
33.5,0.4979166666666667,1.0,71.0,88.0,29.164263038548754,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,10.205918538548751,0.0006433997874190911,0.1343047616588415
34.0,0.9979166666666667,1.0,73.0,88.0,29.373242630385487,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972,10.20656463038549,0.0012894916241579235,0.1142875774484508
34.0,0.4979166666666667,1.0,73.0,88.0,29.373242630385487,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,10.20656463038549,0.0006433997874119857,0.10960570340022033
34.5,0.4979166666666667,1.0,71.0,88.0,29.58222222222222,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.207210722222221,0.0006433997874155384,0.11865715212779061
35.0,0.9979166666666667,1.0,72.0,88.0,29.791201814058958,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,10.207856814058957,0.001289491624150818,0.06638982712348365
35.0,0.4979166666666667,1.0,72.0,88.0,29.791201814058958,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.207856814058957,0.0006433997874155384,0.07951923000723678
35.5,0.4979166666666667,1.0,71.0,88.0,30.00018140589569,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.208502905895692,0.0006433997874155384,0.05007599271744723
36.0,3.997916666666667,1.0,57.0,88.0,30.209160997732425,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,10.209148997732427,0.00516604264456233,0.09883627917998077
36.5,0.4979166666666667,1.0,76.0,88.0,30.418140589569163,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,10.209795089569162,0.0006433997874119857,0.12470983600437709
37.0,0.9979166666666667,1.0,72.0,88.0,30.627120181405896,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,10.210441181405894,0.0012894916241437127,0.12945091070795453
37.0,0.4979166666666667,1.0,72.0,88.0,30.627120181405896,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.210441181405894,0.0006433997874155384,0.10765897611898068
37.5,0.4979166666666667,1.0,76.0,88.0,30.83609977324263,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,10.21108727324263,0.0006433997874155384,0.14819777751241342
38.0,0.9979166666666667,1.0,71.0,88.0,31.045079365079363,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,10.211733365079365,0.001289491624150818,0.07196378870440577
