O,O_N,B,B_Nom,C,C_Nom,O_BE,O_BE_Nom,B_BE,B_BE_Nom,C_BE,C_BE_Nom
0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none
0.0067116848072562,none,0.0232199546485261,none,-0.1393197278911564,del,0.0216216179401047,none,0.0007530791054559,none,-0.0045184746327355,none
-0.1723362675736963,del,-0.1625396825396829,del,-0.3250793650793651,del,0.0432432358802094,none,-0.0052715537381915,none,-0.010543107476383,none
-0.0959647188208618,none,-0.0928798185941046,none,-0.4179591836734695,del,0.0648648538203142,none,-0.0030123164218237,none,-0.0135554238982067,none
-0.3214525804988661,del,-0.3018594104308389,del,-0.626938775510204,del,0.0864864717604189,none,-0.0097900283709271,none,-0.0203331358473101,none
-0.3147408956916098,del,-0.3947392290249429,del,-0.9055782312925168,del,0.1081080897005236,adv,-0.0128023447927508,none,-0.0293700851127813,none
-0.5170088027210888,del,-0.6037188208616784,del,-1.114557823129252,del,0.1297297076406284,adv,-0.0195800567418542,none,-0.0361477970618847,none
-0.5335170725623586,del,-0.6965986394557824,del,-1.3003174603174603,del,0.1513513255807331,adv,-0.0225923731636779,none,-0.0421724299055321,none
-0.6893450702947854,del,-0.8591383219954656,del,-1.5325170068027223,del,0.1729729435208378,adv,-0.0278639269018694,none,-0.0497032209600915,none
-0.7058533401360547,del,-0.8823582766439904,del,-1.6021768707482984,del,0.1945945614609426,adv,-0.0286170060073253,none,-0.0519624582764592,none
-0.7223616099773249,del,-0.9055782312925178,del,-1.7182766439909312,del,0.2162161794010473,adv,-0.0293700851127813,none,-0.055727853803739,none
-0.9014095623582764,del,-1.253877551020408,del,-2.066575963718821,del,0.237837797341152,adv,-0.0406662716946203,none,-0.0670240403855779,none
-1.08045751473923,del,-1.3931972789115663,del,-2.252335600907029,del,0.2594594152812568,adv,-0.0451847463273559,none,-0.0730486732292254,none
-1.1434056938775503,del,-1.4628571428571444,del,-2.4380952380952383,del,0.2810810332213614,adv,-0.0474439836437237,none,-0.0790733060728728,none
-1.2527937823129245,del,-1.555736961451247,del,-2.6006349206349206,del,0.3027026511614662,adv,-0.0504563000655474,none,-0.0843448598110643,none
-1.2460820975056688,del,-1.6253968253968267,del,-2.809614512471656,del,0.3243242691015709,adv,-0.0527155373819152,none,-0.0911225717601678,none
-1.3322502312925175,del,-1.7182766439909312,del,-2.9024943310657605,del,0.3459458870416757,adv,-0.055727853803739,none,-0.0941348881819915,none
-1.3405043662131533,del,-1.8343764172335624,del,-3.041814058956918,del,0.3567566960117281,adv,-0.0594932493310186,none,-0.0986533628147271,none
-1.3255385464852625,del,-1.8343764172335624,del,-3.041814058956918,del,0.3675675049817805,adv,-0.0594932493310186,none,-0.0986533628147271,none
-1.333792681405896,del,-1.8343764172335604,del,-3.0418140589569163,del,0.3783783139518328,adv,-0.0594932493310186,none,-0.098653362814727,none
-1.3420468163265316,del,-1.787936507936509,del,-3.0185941043083897,del,0.3891891229218852,adv,-0.0579870911201068,none,-0.0979002837092711,none
-1.350300951247165,del,-1.5325170068027223,del,-2.809614512471656,del,0.3999999318919375,adv,-0.0497032209600915,none,-0.0911225717601677,none
-1.4514349047619053,del,-1.5325170068027223,del,-2.856054421768709,del,0.4108107408619899,adv,-0.0497032209600915,none,-0.0926287299710796,none
-1.57578881292517,del,-1.4164172335600913,del,-2.7631746031746047,del,0.4216215498320422,adv,-0.0459378254328118,none,-0.0896164135492559,none
-1.560822993197279,del,-1.36997732426304,del,-2.693514739229025,del,0.4324323588020946,adv,-0.0444316672219,none,-0.0873571762328881,none
-1.5601769013605438,del,-1.3699773242630382,del,-2.693514739229025,del,0.439189116435403,adv,-0.0444316672218999,none,-0.087357176232888,none
-1.5595308095238103,del,-1.36997732426304,del,-2.693514739229027,del,0.4459458740687114,adv,-0.0444316672219,none,-0.0873571762328881,none
-1.5595308095238103,del,-1.36997732426304,del,-2.693514739229027,del,0.4459458740687114,adv,-0.0444316672219,none,-0.0873571762328881,none
-1.558884717687075,del,-1.36997732426304,del,-2.693514739229025,del,0.4527026317020198,adv,-0.0444316672219,none,-0.0873571762328881,none
-1.5582386258503416,del,-1.36997732426304,del,-2.693514739229025,del,0.4594593893353282,adv,-0.0444316672219,none,-0.087357176232888,none
-1.5582386258503416,del,-1.36997732426304,del,-2.693514739229025,del,0.4594593893353282,adv,-0.0444316672219,none,-0.087357176232888,none
-1.5575925340136063,del,-1.36997732426304,del,-2.6006349206349206,del,0.4662161469686366,adv,-0.0444316672219,none,-0.0843448598110643,none
-1.5569464421768728,del,-1.36997732426304,del,-2.6006349206349206,del,0.4729729046019451,adv,-0.0444316672219,none,-0.0843448598110644,none
-1.5569464421768728,del,-1.36997732426304,del,-2.6006349206349206,del,0.4729729046019451,adv,-0.0444316672219,none,-0.0843448598110644,none
-1.5563003503401358,del,-1.36997732426304,del,-2.6006349206349224,del,0.4797296622352534,adv,-0.0444316672219,none,-0.0843448598110643,none
-1.578874213151927,del,-1.3467573696145134,del,-2.6006349206349224,del,0.4864864198685618,adv,-0.043678588116444,none,-0.0843448598110644,none
-1.6014480759637184,del,-1.2770975056689355,del,-2.623854875283447,del,0.4932431775018702,adv,-0.0414193508000763,none,-0.0850979389165203,none
-1.600801984126985,del,-1.2770975056689355,del,-2.623854875283447,del,0.4999999351351786,adv,-0.0414193508000763,none,-0.0850979389165203,none
-1.600801984126985,del,-1.2770975056689355,del,-2.623854875283447,del,0.4999999351351786,adv,-0.0414193508000763,none,-0.0850979389165203,none
-1.6001558922902497,del,-1.2770975056689338,del,-2.623854875283449,del,0.506756692768487,adv,-0.0414193508000761,none,-0.0850979389165204,none
-1.5995098004535144,del,-1.2770975056689355,del,-2.623854875283447,del,0.5135134504017954,adv,-0.0414193508000763,none,-0.0850979389165202,none
-1.5995098004535144,del,-1.2770975056689355,del,-2.623854875283447,del,0.5135134504017954,adv,-0.0414193508000763,none,-0.0850979389165202,none
-1.598863708616781,del,-1.2770975056689355,del,-2.623854875283447,del,0.5202702080351038,adv,-0.0414193508000763,none,-0.0850979389165202,none
-1.598217616780044,del,-1.2306575963718842,del,-2.577414965986396,del,0.5270269656684121,adv,-0.0399131925891644,none,-0.0835917807056084,none
-1.598217616780044,del,-1.2306575963718842,del,-2.577414965986396,del,0.5270269656684121,adv,-0.0399131925891644,none,-0.0835917807056084,none
-1.5975715249433122,del,-1.137777777777778,del,-2.554195011337871,del,0.5337837233017206,adv,-0.0369008761673407,none,-0.0828387016001526,none
-1.5969254331065788,del,-1.1377777777777798,del,-2.5309750566893445,del,0.540540480935029,adv,-0.0369008761673407,none,-0.0820856224946965,none
-1.7123791145124745,del,-1.2538775510204108,del,-2.5774149659863976,del,0.5472972385683375,adv,-0.0406662716946203,none,-0.0835917807056084,none
-1.7117330226757357,del,-1.2074376417233577,del,-2.391655328798185,del,0.5540539962016457,adv,-0.0391601134837085,none,-0.077567147861961,none
-1.7117330226757357,del,-1.2074376417233577,del,-2.391655328798185,del,0.5540539962016457,adv,-0.0391601134837085,none,-0.077567147861961,none
-1.711086930839004,del,-1.2074376417233577,del,-2.3684353741496604,del,0.5608107538349543,adv,-0.0391601134837085,none,-0.0768140687565051,none
-1.7104408390022687,del,-1.2074376417233577,del,-2.3684353741496604,del,0.5675675114682626,adv,-0.0391601134837085,none,-0.0768140687565051,none
-1.7104408390022687,del,-1.2074376417233577,del,-2.3684353741496604,del,0.5675675114682626,adv,-0.0391601134837085,none,-0.0768140687565051,none
-1.70979474716553,del,-1.207437641723354,del,-2.3684353741496604,del,0.574324269101571,adv,-0.0391601134837084,none,-0.0768140687565051,none
-1.7091486553287965,del,-1.207437641723356,del,-2.3684353741496587,del,0.5810810267348794,adv,-0.0391601134837084,none,-0.0768140687565049,none
-1.7091486553287965,del,-1.207437641723356,del,-2.3684353741496587,del,0.5810810267348794,adv,-0.0391601134837084,none,-0.0768140687565049,none
-1.7085025634920648,del,-1.207437641723356,del,-2.3684353741496587,del,0.5878377843681878,adv,-0.0391601134837085,none,-0.0768140687565051,none
-1.7078564716553295,del,-1.207437641723356,del,-2.368435374149662,del,0.5945945420014962,adv,-0.0391601134837085,none,-0.0768140687565051,none
-1.730430334467119,del,-1.1609977324263063,del,-2.2987755102040808,del,0.6013512996348045,adv,-0.0376539552727966,none,-0.0745548314401371,none
-1.7297842426303838,del,-1.1609977324263028,del,-2.2987755102040808,del,0.608108057268113,adv,-0.0376539552727964,none,-0.0745548314401371,none
-1.7297842426303838,del,-1.1609977324263028,del,-2.2987755102040808,del,0.608108057268113,adv,-0.0376539552727964,none,-0.0745548314401371,none
-1.729138150793652,del,-1.1609977324263028,del,-2.2987755102040808,del,0.6148648149014214,adv,-0.0376539552727965,none,-0.0745548314401373,none
-1.7284920589569133,del,-1.1609977324263028,del,-2.2987755102040808,del,0.6216215725347297,adv,-0.0376539552727965,none,-0.0745548314401373,none
-1.7284920589569133,del,-1.1609977324263028,del,-2.2987755102040808,del,0.6216215725347297,adv,-0.0376539552727965,none,-0.0745548314401373,none
-1.727845967120178,del,-1.1609977324263028,del,-2.2987755102040808,del,0.6283783301680381,adv,-0.0376539552727965,none,-0.0745548314401371,none
-1.7271998752834463,del,-1.1609977324263028,del,-2.2987755102040808,del,0.6351350878013466,adv,-0.0376539552727965,none,-0.0745548314401371,none
-1.7271998752834463,del,-1.1609977324263028,del,-2.2987755102040808,del,0.6351350878013466,adv,-0.0376539552727965,none,-0.0745548314401371,none
-1.726553783446711,del,-1.1609977324263028,del,-2.2987755102040808,del,0.6418918454346549,adv,-0.0376539552727965,none,-0.0745548314401371,none
-1.7259076916099758,del,-1.1609977324263063,del,-2.2987755102040808,del,0.6486486030679632,adv,-0.0376539552727965,none,-0.0745548314401371,none
-1.7252615997732406,del,-1.1145578231292497,del,-2.229115646258503,del,0.6554053607012718,adv,-0.0361477970618847,none,-0.0722955941237695,none
-1.7246155079365089,del,-1.1145578231292497,del,-2.229115646258503,del,0.6621621183345802,adv,-0.0361477970618846,none,-0.0722955941237695,none
-1.7246155079365089,del,-1.1145578231292497,del,-2.229115646258503,del,0.6621621183345802,adv,-0.0361477970618846,none,-0.0722955941237695,none
-1.7239694160997736,del,-1.1145578231292532,del,-2.229115646258503,del,0.6689188759678886,adv,-0.0361477970618847,none,-0.0722955941237694,none
-1.7233233242630348,del,-1.1145578231292497,del,-2.229115646258503,del,0.6756756336011969,adv,-0.0361477970618846,none,-0.0722955941237694,none
-1.7233233242630348,del,-1.1145578231292497,del,-2.229115646258503,del,0.6756756336011969,adv,-0.0361477970618846,none,-0.0722955941237694,none
-1.722677232426303,del,-1.1145578231292497,del,-2.229115646258503,del,0.6824323912345054,adv,-0.0361477970618846,none,-0.0722955941237694,none
-1.722031140589568,del,-1.1145578231292532,del,-2.229115646258503,del,0.6891891488678137,adv,-0.0361477970618847,none,-0.0722955941237694,none
-1.722031140589568,del,-1.1145578231292532,del,-2.229115646258503,del,0.6891891488678137,adv,-0.0361477970618847,none,-0.0722955941237694,none
-1.7213850487528326,del,-1.1145578231292497,del,-2.2291156462585,del,0.6959459065011222,adv,-0.0361477970618846,none,-0.0722955941237692,none
-1.7207389569160974,del,-1.1145578231292497,del,-2.229115646258503,del,0.7027026641344305,adv,-0.0361477970618847,none,-0.0722955941237695,none
-1.7200928650793657,del,-1.1145578231292532,del,-2.229115646258503,del,0.709459421767739,adv,-0.0361477970618847,none,-0.0722955941237695,none
-1.7194467732426304,del,-1.1145578231292532,del,-2.229115646258503,del,0.7162161794010473,adv,-0.0361477970618847,none,-0.0722955941237694,none
-1.7194467732426304,del,-1.1145578231292532,del,-2.229115646258503,del,0.7162161794010473,adv,-0.0361477970618847,none,-0.0722955941237694,none
-1.8116804999999976,del,-1.207437641723356,del,-2.321995464852609,del,0.7229729370343556,adv,-0.0391601134837084,none,-0.0753079105455931,none
-1.8342543628117909,del,-1.207437641723356,del,-2.321995464852609,del,0.7297296946676641,adv,-0.0391601134837085,none,-0.0753079105455932,none
-1.8342543628117909,del,-1.207437641723356,del,-2.321995464852609,del,0.7297296946676641,adv,-0.0391601134837085,none,-0.0753079105455932,none
-1.833608270975056,del,-1.207437641723356,del,-2.321995464852609,del,0.7364864523009724,adv,-0.0391601134837084,none,-0.0753079105455932,none
-1.8329621791383204,del,-1.207437641723356,del,-2.3219954648526056,del,0.743243209934281,adv,-0.0391601134837084,none,-0.075307910545593,none
-1.8329621791383204,del,-1.207437641723356,del,-2.3219954648526056,del,0.743243209934281,adv,-0.0391601134837084,none,-0.075307910545593,none
-1.832316087301585,del,-1.207437641723356,del,-2.3219954648526056,del,0.7499999675675892,adv,-0.0391601134837084,none,-0.075307910545593,none
-1.878109904761903,del,-1.2538775510204054,del,-2.3916553287981834,del,0.7567567252008978,adv,-0.0406662716946202,none,-0.0775671478619608,none
-1.876817721088436,del,-1.253877551020409,del,-2.414875283446712,del,0.7702702404675146,adv,-0.0406662716946203,none,-0.0783202269674168,none
-1.876817721088436,del,-1.253877551020409,del,-2.414875283446712,del,0.7702702404675146,adv,-0.0406662716946203,none,-0.0783202269674168,none
-1.876817721088436,del,-1.253877551020409,del,-2.414875283446712,del,0.7702702404675146,adv,-0.0406662716946203,none,-0.0783202269674168,none
-1.876817721088436,del,-1.253877551020409,del,-2.414875283446712,del,0.7702702404675146,adv,-0.0406662716946203,none,-0.0783202269674168,none
-1.8755255374149653,del,-1.2538775510204054,del,-2.414875283446712,del,0.7837837557341314,adv,-0.0406662716946202,none,-0.0783202269674169,none
-1.8755255374149653,del,-1.2538775510204054,del,-2.414875283446712,del,0.7837837557341314,adv,-0.0406662716946202,none,-0.0783202269674169,none
-1.8755255374149653,del,-1.2538775510204054,del,-2.414875283446712,del,0.7837837557341314,adv,-0.0406662716946202,none,-0.0783202269674169,none
-1.8755255374149653,del,-1.2538775510204054,del,-2.414875283446712,del,0.7837837557341314,adv,-0.0406662716946202,none,-0.0783202269674169,none
-1.874233353741495,del,-1.253877551020409,del,-2.414875283446712,del,0.797297271000748,adv,-0.0406662716946203,none,-0.0783202269674169,none
