O,O_N,B,B_Nom,C,C_Nom,O_BE,O_BE_Nom,B_BE,B_BE_Nom,C_BE,C_BE_Nom
0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none
-0.0165082698412698,none,0.0,none,0.0,none,0.0216216179401047,none,0.0,none,0.0,none
-0.0097965850340133,none,0.0464399092970524,none,0.0,none,0.0432432358802094,none,0.0015061582109118,none,0.0,none
0.0433550090702947,none,0.0928798185941044,none,0.0232199546485265,none,0.0648648538203142,none,0.0030123164218237,none,0.0007530791054559,none
-0.0660330793650794,none,0.0232199546485261,none,0.0232199546485256,none,0.0864864717604189,none,0.0007530791054559,none,0.0007530791054559,none
0.0335584240362818,none,0.1160997732426309,adv,-0.0928798185941035,none,0.1081080897005236,adv,0.0037653955272796,none,-0.0030123164218237,none
-0.0526097097505671,none,0.1160997732426301,adv,-0.1857596371882088,del,0.1297297076406284,adv,0.0037653955272796,none,-0.0060246328436474,none
0.0702017482993202,none,0.2554195011337867,adv,-0.2089795918367345,del,0.1513513255807331,adv,0.0082838701600152,none,-0.0067777119491033,none
0.0769134331065757,none,0.2554195011337867,adv,-0.2089795918367354,del,0.1729729435208378,adv,0.0082838701600152,none,-0.0067777119491034,none
0.083625117913832,none,0.3018594104308389,adv,-0.2089795918367345,del,0.1945945614609426,adv,0.0097900283709271,none,-0.0067777119491033,none
0.0206769387755105,none,0.2089795918367345,adv,-0.3250793650793646,del,0.2162161794010473,adv,0.0067777119491033,none,-0.010543107476383,none
0.0738285328798191,none,0.3947392290249434,adv,-0.3018594104308381,del,0.237837797341152,adv,0.0128023447927508,none,-0.0097900283709271,none
0.057320263038548,none,0.4643990929705213,adv,-0.3482993197278912,del,0.2594594152812568,adv,0.0150615821091186,none,-0.011296186581839,none
0.2033516757369629,adv,0.6037188208616797,adv,-0.3250793650793646,del,0.2810810332213614,adv,0.0195800567418542,none,-0.010543107476383,none
0.1868434058956918,adv,0.6037188208616762,adv,-0.3250793650793664,del,0.3027026511614662,adv,0.0195800567418541,none,-0.010543107476383,none
0.2167750453514738,adv,0.6269387755102045,adv,-0.5340589569161001,del,0.3243242691015709,adv,0.0203331358473101,none,-0.0173208194254864,none
0.293146594104309,adv,0.6965986394557824,adv,-0.6733786848072558,del,0.3459458870416757,adv,0.0225923731636779,none,-0.021839294058222,none
0.2848924591836734,adv,0.6965986394557824,adv,-0.9752380952380956,del,0.3567566960117281,adv,0.0225923731636779,none,-0.0316293224291491,none
0.2998582789115644,adv,0.7430385487528337,adv,-0.9752380952380956,del,0.3675675049817805,adv,0.0240985313745898,none,-0.0316293224291491,none
0.2916041439909289,adv,0.8823582766439895,adv,-0.9520181405895692,del,0.3783783139518328,adv,0.0286170060073253,none,-0.0308762433236932,none
0.2833500090702934,adv,1.207437641723354,adv,-0.7430385487528355,del,0.3891891229218852,adv,0.0391601134837084,none,-0.0240985313745898,none
0.2983158287981862,adv,1.3931972789115648,adv,-0.5572789115646266,del,0.3999999318919375,adv,0.0451847463273559,none,-0.0180738985309423,none
0.7544607868480728,adv,1.857596371882087,adv,-0.0928798185941044,none,0.4108107408619899,adv,0.0602463284364745,none,-0.0030123164218237,none
0.7462066519274391,adv,1.8575963718820887,adv,-0.0928798185941044,none,0.4216215498320422,adv,0.0602463284364746,none,-0.0030123164218237,none
0.7611724716553301,adv,1.857596371882087,adv,-0.0928798185941026,none,0.4324323588020946,adv,0.0602463284364745,none,-0.0030123164218236,none
0.7618185634920636,adv,1.857596371882087,adv,-0.0928798185941044,none,0.439189116435403,adv,0.0602463284364745,none,-0.0030123164218237,none
0.7624646553287988,adv,1.8575963718820847,adv,-0.3482993197278912,del,0.4459458740687114,adv,0.0602463284364745,none,-0.0112961865818389,none
0.7624646553287988,adv,1.8575963718820847,adv,-0.3482993197278912,del,0.4459458740687114,adv,0.0602463284364745,none,-0.0112961865818389,none
0.7631107471655323,adv,1.8575963718820847,adv,-0.3482993197278912,del,0.4527026317020198,adv,0.0602463284364745,none,-0.0112961865818389,none
0.7637568390022675,adv,1.857596371882087,adv,-0.3482993197278894,del,0.4594593893353282,adv,0.0602463284364745,none,-0.0112961865818389,none
0.7637568390022675,adv,1.857596371882087,adv,-0.3482993197278894,del,0.4594593893353282,adv,0.0602463284364745,none,-0.0112961865818389,none
0.764402930839001,adv,1.857596371882087,adv,-0.3482993197278929,del,0.4662161469686366,adv,0.0602463284364745,none,-0.011296186581839,none
0.765049022675738,adv,1.857596371882087,adv,-0.3482993197278894,del,0.4729729046019451,adv,0.0602463284364745,none,-0.0112961865818388,none
0.765049022675738,adv,1.857596371882087,adv,-0.3482993197278894,del,0.4729729046019451,adv,0.0602463284364745,none,-0.0112961865818388,none
0.8353549784580512,adv,1.9272562358276648,adv,-0.2786394557823115,del,0.4797296622352534,adv,0.0625055657528423,none,-0.0090369492654711,none
0.8127811156462599,adv,1.9272562358276648,adv,-0.2786394557823097,del,0.4864864198685618,adv,0.0625055657528423,none,-0.009036949265471,none
0.8134272074829916,adv,1.927256235827663,adv,-0.2786394557823151,del,0.4932431775018702,adv,0.0625055657528422,none,-0.0090369492654712,none
0.814073299319725,adv,1.927256235827663,adv,-0.2786394557823151,del,0.4999999351351786,adv,0.0625055657528423,none,-0.0090369492654712,none
0.814073299319725,adv,1.927256235827663,adv,-0.2786394557823151,del,0.4999999351351786,adv,0.0625055657528423,none,-0.0090369492654712,none
0.8147193911564621,adv,1.927256235827663,adv,-0.2786394557823115,del,0.506756692768487,adv,0.0625055657528423,none,-0.009036949265471,none
