O,O_N,A,A_Nom,C,C_Nom,O_BE,O_BE_Nom,A_BE,A_BE_Nom,C_BE,C_BE_Nom
0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none
0.1692513673469388,adv,0.1857596371882086,adv,0.0696598639455782,none,0.0216216179401047,none,0.0060246328436474,none,0.0022592373163677,none
-0.102676403628118,del,-0.0928798185941044,none,-0.0232199546485261,none,0.0432432358802094,none,-0.0030123164218237,none,-0.0007530791054559,none
-0.0959647188208618,none,-0.8591383219954651,del,-0.0928798185941044,none,0.0648648538203142,none,-0.0278639269018694,none,-0.0030123164218237,none
-0.2285727619047617,del,-0.6965986394557819,del,-0.0464399092970522,none,0.0864864717604189,none,-0.0225923731636779,none,-0.0015061582109118,none
-0.2218610770975058,del,-0.6965986394557824,del,-0.0464399092970526,none,0.1081080897005236,adv,-0.0225923731636779,none,-0.0015061582109118,none
-0.3312491655328804,del,-0.5572789115646266,del,-4.440892098500626e-16,none,0.1297297076406284,adv,-0.0180738985309423,none,-1.3877787807814457e-17,none
-0.3477574353741497,del,-0.5340589569161001,del,0.0,none,0.1513513255807331,adv,-0.0173208194254864,none,0.0,none
-0.4339255691609978,del,-0.4876190476190478,del,-0.0464399092970513,none,0.1729729435208378,adv,-0.0158146612145745,none,-0.0015061582109118,none
-0.4968737482993202,del,-0.4411791383219956,del,-0.0696598639455778,none,0.1945945614609426,adv,-0.0143085030036627,none,-0.0022592373163677,none
-0.5366019727891151,del,-0.3715192743764168,del,-0.0464399092970513,none,0.2162161794010473,adv,-0.0120492656872948,none,-0.0015061582109118,none
-0.692429970521542,del,-0.3715192743764168,del,-0.1393197278911557,del,0.237837797341152,adv,-0.0120492656872949,none,-0.0045184746327355,none
-0.9179178321995476,del,-0.3482993197278921,del,-0.1625396825396832,del,0.2594594152812568,adv,-0.011296186581839,none,-0.0052715537381915,none
-0.8415462834467107,del,-0.2786394557823133,del,-0.0928798185941035,none,0.2810810332213614,adv,-0.0090369492654712,none,-0.0030123164218237,none
-0.8812745079365065,del,-0.0464399092970513,none,0.0,none,0.3027026511614662,adv,-0.0015061582109118,none,0.0,none
-0.874562823129251,del,-0.0464399092970513,none,0.0,none,0.3243242691015709,adv,-0.0015061582109118,none,0.0,none
-0.8678511383219956,del,0.0232199546485265,none,0.1160997732426292,adv,0.3459458870416757,adv,0.0007530791054559,none,0.0037653955272796,none
-0.8064454092970532,del,0.0928798185941044,none,0.1857596371882071,adv,0.3567566960117281,adv,0.0030123164218237,none,0.0060246328436474,none
-0.7914795895691622,del,0.0928798185941044,none,0.1857596371882071,adv,0.3675675049817805,adv,0.0030123164218237,none,0.0060246328436474,none
-0.799733724489796,del,0.0928798185941044,none,0.1857596371882088,adv,0.3783783139518328,adv,0.0030123164218237,none,0.0060246328436474,none
-0.9937474965986404,del,0.0464399092970513,none,0.2321995464852602,adv,0.3891891229218852,adv,0.0015061582109118,none,0.0075307910545592,none
-1.2806410873015857,del,0.0464399092970531,none,0.2554195011337867,adv,0.3999999318919375,adv,0.0015061582109119,none,0.0082838701600152,none
-1.4049949954648522,del,0.0232199546485265,none,0.3018594104308381,adv,0.4108107408619899,adv,0.0007530791054559,none,0.009790028370927,none
-1.529348903628117,del,-0.0464399092970513,none,0.2321995464852602,adv,0.4216215498320422,adv,-0.0015061582109118,none,0.0075307910545592,none
-1.5840429478458056,del,-0.1160997732426309,del,0.1625396825396805,adv,0.4324323588020946,adv,-0.0037653955272796,none,0.0052715537381914,none
-1.5833968560090703,del,-0.1160997732426309,del,0.1625396825396823,adv,0.439189116435403,adv,-0.0037653955272797,none,0.0052715537381914,none
-1.582750764172335,del,-0.0696598639455778,none,0.2554195011337867,adv,0.4459458740687114,adv,-0.0022592373163677,none,0.0082838701600152,none
-1.582750764172335,del,-0.0696598639455778,none,0.2554195011337867,adv,0.4459458740687114,adv,-0.0022592373163677,none,0.0082838701600152,none
-1.5821046723356016,del,0.0696598639455778,none,0.3947392290249425,adv,0.4527026317020198,adv,0.0022592373163677,none,0.0128023447927508,none
-1.5814585804988663,del,0.0696598639455778,none,0.3947392290249425,adv,0.4594593893353282,adv,0.0022592373163677,none,0.0128023447927507,none
-1.5814585804988663,del,0.0696598639455778,none,0.3947392290249425,adv,0.4594593893353282,adv,0.0022592373163677,none,0.0128023447927507,none
-1.6040324433106576,del,0.0464399092970531,none,0.4411791383219956,adv,0.4662161469686366,adv,0.0015061582109119,none,0.0143085030036627,none
-1.6033863514739242,del,0.0696598639455778,none,0.4411791383219938,adv,0.4729729046019451,adv,0.0022592373163677,none,0.0143085030036626,none
-1.6033863514739242,del,0.0696598639455778,none,0.4411791383219938,adv,0.4729729046019451,adv,0.0022592373163677,none,0.0143085030036626,none
-1.6027402596371871,del,0.0696598639455778,none,0.4411791383219956,adv,0.4797296622352534,adv,0.0022592373163677,none,0.0143085030036627,none
-1.7878538049886608,del,-0.0928798185941044,none,0.3018594104308398,adv,0.4864864198685618,adv,-0.0030123164218237,none,0.0097900283709271,none
-1.9497473956916096,del,-0.2089795918367354,del,0.2089795918367336,adv,0.4932431775018702,adv,-0.0067777119491033,none,0.0067777119491033,none
-1.9491013038548743,del,-0.2089795918367336,del,0.2089795918367354,adv,0.4999999351351786,adv,-0.0067777119491033,none,0.0067777119491033,none
-1.9491013038548743,del,-0.2089795918367336,del,0.2089795918367354,adv,0.4999999351351786,adv,-0.0067777119491033,none,0.0067777119491033,none
