OnSet desviation,Nominal_OD
0.0,none
0.0,none
-0.0928798185941044,none
-0.0696598639455778,none
-0.1160997732426309,del
-0.0696598639455778,none
-0.2786394557823133,del
-0.1393197278911557,del
-0.3018594104308381,del
-0.2321995464852602,del
-0.2089795918367354,del
-0.1857596371882088,del
-0.2089795918367336,del
-0.1857596371882088,del
-0.3715192743764177,del
-0.2089795918367354,del
0.0464399092970531,none
0.0464399092970513,none
0.0464399092970513,none
0.0464399092970531,none
-0.0696598639455778,none
-0.1625396825396841,del
-0.3947392290249425,del
-0.6501587301587293,del
-0.6501587301587293,del
-0.6501587301587328,del
-0.6501587301587293,del
-0.6501587301587293,del
-0.6501587301587293,del
-0.6501587301587328,del
-0.6501587301587328,del
-0.6501587301587293,del
-0.673378684807254,del
-0.673378684807254,del
-0.6965986394557824,del
-0.6965986394557824,del
-0.6965986394557824,del
-0.6965986394557824,del
-0.6965986394557824,del
-0.7198185941043072,del
-0.7198185941043107,del
-0.7198185941043107,del
-0.8359183673469381,del
-0.8823582766439912,del
-0.8823582766439912,del
-0.8823582766439877,del
-0.8823582766439912,del
-0.8823582766439912,del
-0.9287981859410444,del
-0.9287981859410444,del
-0.975238095238094,del
-0.9752380952380976,del
-0.9752380952380976,del
-0.9984580498866222,del
-1.0448979591836751,del
-1.0448979591836751,del
-1.091337868480725,del
-1.1145578231292532,del
-1.1145578231292497,del
-1.1145578231292497,del
-1.1145578231292497,del
-1.1145578231292532,del
-1.1145578231292532,del
-1.1145578231292532,del
-1.1609977324263028,del
-1.207437641723356,del
-1.207437641723356,del
-1.300317460317462,del
-1.3235374149659869,del
-1.439637188208618,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.416417233560093,del
-1.416417233560093,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.4396371882086143,del
-1.3235374149659869,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.277097505668937,del
-1.277097505668937,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.1609977324263028,del
-1.1609977324263028,del
-1.1609977324263028,del
-1.1609977324263028,del
-1.1609977324263063,del
-1.1609977324263063,del
-1.1609977324263063,del
-1.1609977324263063,del
0.2554195011337867,adv
0.2554195011337867,adv
0.2554195011337867,adv
0.2554195011337867,adv
-0.8823582766439912,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365035,del
-1.7879365079365035,del
-1.7879365079365035,del
-1.7879365079365035,del
-1.7879365079365002,del
-1.7879365079365002,del
-1.7879365079365002,del
-1.7879365079365002,del
-1.2306575963718842,del
-1.2306575963718842,del
-1.2306575963718842,del
-1.2306575963718842,del
-1.2306575963718842,del
-1.3003174603174583,del
-1.3003174603174583,del
-1.3003174603174583,del
-1.3003174603174583,del
-1.323537414965983,del
-1.323537414965983,del
-1.323537414965983,del
-1.323537414965983,del
-1.3003174603174656,del
-1.3003174603174656,del
-1.3003174603174656,del
-1.3003174603174656,del
-1.3003174603174656,del
-1.36997732426304,del
-1.36997732426304,del
-1.36997732426304,del
-1.36997732426304,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.486077097505671,del
0.3018594104308434,adv
0.3018594104308434,adv
