OnSet desviation,Nominal_OD
0.0,none
-0.1160997732426303,del
-0.0696598639455783,none
1.0913378684807251,adv
2.043356009070295,adv
2.043356009070294,adv
1.927256235827664,adv
1.927256235827664,adv
1.8343764172335597,adv
1.6486167800453506,adv
1.6021768707482984,adv
1.4860770975056674,adv
1.2770975056689338,adv
1.207437641723356,adv
1.0681179138321983,adv
1.021678004535147,adv
0.905578231292516,adv
0.789478458049885,adv
0.789478458049885,adv
0.7894784580498868,adv
0.5572789115646248,adv
0.3947392290249425,adv
0.3018594104308381,adv
0.2554195011337867,adv
0.2089795918367354,adv
0.1625396825396805,adv
0.1393197278911557,adv
0.1393197278911557,adv
0.0696598639455778,none
0.0696598639455778,none
0.0696598639455778,none
0.0696598639455778,none
0.0696598639455778,none
0.0696598639455778,none
0.0696598639455778,none
0.0696598639455778,none
-1.7763568394002505e-15,none
0.0,none
0.0,none
0.0,none
0.0,none
0.0,none
-1.7763568394002505e-15,none
-1.7763568394002505e-15,none
-1.7763568394002505e-15,none
-0.0232199546485265,none
-0.0928798185941044,none
-0.1160997732426292,del
-0.0928798185941079,none
-0.0928798185941079,none
-0.0928798185941026,none
-0.0928798185941026,none
-0.0928798185941026,none
-0.0928798185941026,none
-0.0928798185941026,none
-0.0928798185941026,none
-0.0928798185941026,none
-0.1625396825396805,del
-0.2321995464852584,del
-0.2554195011337867,del
-0.2554195011337867,del
-0.2554195011337832,del
-0.2554195011337867,del
-0.2554195011337867,del
-0.2554195011337867,del
-0.2554195011337832,del
-0.2554195011337832,del
-0.2554195011337867,del
-0.2786394557823115,del
-0.3482993197278894,del
-0.3482993197278894,del
-0.3482993197278894,del
-0.3482993197278894,del
-0.3482993197278929,del
-0.3482993197278929,del
-0.3482993197278894,del
-0.3482993197278894,del
-0.3482993197278894,del
-0.3482993197278894,del
-0.441179138321992,del
-0.441179138321992,del
-0.3715192743764142,del
-0.3715192743764142,del
-0.3715192743764142,del
-0.3715192743764142,del
-0.3715192743764142,del
-0.3715192743764177,del
-0.3715192743764177,del
-0.3715192743764177,del
-0.3715192743764142,del
-0.3715192743764177,del
-0.3250793650793611,del
-0.3250793650793611,del
-0.3250793650793611,del
-0.3250793650793611,del
-0.2554195011337867,del
-0.2554195011337867,del
-0.2554195011337867,del
-0.2554195011337867,del
-0.2554195011337832,del
-0.2554195011337832,del
-0.2554195011337832,del
-0.2554195011337832,del
-0.441179138321992,del
-0.4643990929705204,del
-0.4643990929705204,del
-0.4643990929705204,del
-0.4643990929705204,del
-0.4643990929705204,del
-0.4643990929705204,del
-0.4643990929705204,del
-0.4643990929705204,del
-0.5572789115646231,del
-0.5572789115646231,del
-0.5572789115646231,del
-0.5572789115646231,del
-0.5572789115646231,del
-0.5572789115646266,del
-0.5572789115646266,del
-0.5572789115646266,del
-0.5572789115646266,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.6965986394557824,del
-0.6965986394557824,del
-0.6965986394557824,del
-0.6965986394557824,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.7198185941043072,del
-0.5572789115646231,del
-0.51083900226757,del
-0.51083900226757,del
