OnSet desviation,Nominal_OD
0.0,none
-0.0861681337868481,none
-0.3580959047619048,del
-0.4210440839002269,del
-0.7394117641723357,del
-0.7559200340136054,del
-1.1207276235827668,del
-1.137235893424036,del
-1.316283845804988,del
-1.588211616780046,del
-1.5814999319727896,del
-1.876647657596372,del
-2.148575428571428,del
-2.188303653061224,del
-2.3905715600907023,del
-2.4302997845805,del
-2.702227555555556,del
-2.6640417811791384,del
-2.649075961451248,del
-2.657330096371883,del
-2.8513438684807277,del
-3.045357640589568,del
-3.053611775510204,del
-3.224405592970521,del
-3.2094397732426305,del
-3.2087936814058957,del
-3.324247362811793,del
-3.324247362811793,del
-3.323601270975057,del
-3.3229551791383223,del
-3.3229551791383223,del
-3.322309087301589,del
-3.3216629954648536,del
-3.3216629954648536,del
-3.3210169036281183,del
-3.3435907664399096,del
-3.366164629251701,del
-3.3655185374149656,del
-3.3655185374149656,del
-3.364872445578232,del
-3.364226353741497,del
-3.364226353741497,del
-3.3635802619047617,del
-3.3629341700680264,del
-3.3629341700680264,del
-3.362288078231293,del
-3.361641986394561,del
-3.4074358038548773,del
-3.592549349206349,del
-3.592549349206349,del
-3.6151232120181422,del
-3.614477120181405,del
-3.614477120181405,del
-3.61383102834467,del
-3.613184936507937,del
-3.613184936507937,del
-3.6357587993197296,del
-3.704772571428572,del
-3.704126479591835,del
-3.7034803877551017,del
-3.7034803877551017,del
-3.70283429591837,del
-3.702188204081631,del
-3.702188204081631,del
-3.7015421122449,del
-3.700896020408164,del
-3.700896020408164,del
-3.700249928571427,del
-3.699603836734692,del
-3.815057518140588,del
-3.814411426303856,del
-3.814411426303856,del
-3.8137653344671207,del
-3.813119242630382,del
-3.813119242630382,del
-3.81247315079365,del
-3.811827058956915,del
-3.811827058956915,del
-3.81118096712018,del
-3.810534875283445,del
-3.972428465986393,del
-4.134322056689342,del
-4.134322056689342,del
-4.133675964852603,del
-4.156249827664396,del
-4.156249827664396,del
-4.155603735827661,del
-4.1549576439909295,del
-4.1549576439909295,del
-4.154311552154194,del
-4.153665460317459,del
-4.152373276643992,del
-4.152373276643992,del
-4.152373276643992,del
-4.152373276643992,del
-4.1510810929705215,del
-4.1510810929705215,del
-4.1510810929705215,del
-4.1510810929705215,del
-4.149788909297048,del
-4.149788909297048,del
-4.149788909297048,del
-4.149788909297048,del
-4.1484967256235805,del
-4.14720454195011,del
-4.14720454195011,del
-4.14720454195011,del
-4.14720454195011,del
-4.145912358276643,del
-4.145912358276643,del
-4.145912358276643,del
-4.145912358276643,del
-4.144620174603173,del
-4.144620174603173,del
-4.144620174603173,del
-4.144620174603173,del
-4.143327990929706,del
-4.142035807256235,del
-4.142035807256235,del
-4.142035807256235,del
-4.142035807256235,del
-4.140743623582765,del
-4.140743623582765,del
-4.140743623582765,del
-4.140743623582765,del
-4.139451439909298,del
-4.139451439909298,del
-4.139451439909298,del
-4.139451439909298,del
-4.138159256235827,del
-4.13686707256236,del
-4.13686707256236,del
-4.13686707256236,del
-4.13686707256236,del
-4.135574888888886,del
-4.135574888888886,del
-4.135574888888886,del
-4.135574888888886,del
-4.134282705215416,del
-4.134282705215416,del
-4.134282705215416,del
-4.134282705215416,del
-4.063330657596371,del
-4.060746290249433,del
-4.060746290249433,del
