OnSet desviation,Nominal_OD
0.0,none
-0.3715192743764173,del
-0.3482993197278912,del
0.6733786848072563,adv
0.4876190476190474,adv
0.3482993197278907,adv
0.1160997732426309,adv
0.0696598639455787,none
0.0,none
-0.0696598639455778,none
-0.0928798185941035,none
-0.2089795918367336,del
-0.5340589569161001,del
-0.5572789115646266,del
-0.5572789115646266,del
-0.5572789115646266,del
-0.5340589569161001,del
-0.5108390022675735,del
-0.5108390022675735,del
-0.5108390022675735,del
-0.5108390022675753,del
-0.5804988662131532,del
-0.6037188208616797,del
-0.5108390022675735,del
-0.4643990929705222,del
-0.3947392290249425,del
-0.5572789115646266,del
-0.5572789115646266,del
-0.766258503401362,del
-0.9752380952380956,del
-0.9752380952380956,del
-0.9984580498866222,del
-0.9984580498866203,del
-0.9984580498866203,del
-0.9984580498866222,del
-0.9752380952380976,del
-0.8823582766439895,del
-0.882358276643993,del
-0.882358276643993,del
-0.8823582766439912,del
-0.8823582766439895,del
-0.8823582766439895,del
-0.8823582766439912,del
-0.8823582766439895,del
-0.8823582766439895,del
-0.9984580498866188,del
-1.091337868480725,del
-1.1609977324263046,del
-1.3235374149659869,del
-1.3235374149659869,del
-1.5325170068027203,del
-1.5557369614512453,del
-1.5557369614512453,del
-1.5557369614512453,del
-1.5557369614512453,del
-1.5557369614512453,del
-1.5557369614512453,del
-1.6021768707482984,del
-1.7182766439909294,del
-1.811156462585032,del
-1.811156462585032,del
-1.8575963718820847,del
-1.8575963718820816,del
-1.8575963718820816,del
-1.8575963718820847,del
-1.8575963718820847,del
-1.8575963718820847,del
-1.9040362811791385,del
-1.9040362811791347,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.9040362811791347,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.927256235827663,del
-1.927256235827663,del
-2.113015873015872,del
-2.159455782312925,del
-2.159455782312925,del
-2.159455782312921,del
-2.159455782312921,del
-2.159455782312925,del
-2.321995464852609,del
-2.321995464852609,del
-2.3452154195011303,del
-2.345215419501134,del
-2.345215419501134,del
-2.3684353741496587,del
-2.5774149659863923,del
-2.64707482993197,del
-2.64707482993197,del
-2.64707482993197,del
-2.64707482993197,del
-2.6470748299319737,del
-2.6470748299319737,del
-2.6470748299319737,del
-2.6470748299319737,del
-2.879274376417232,del
-2.879274376417232,del
-2.879274376417232,del
-2.879274376417232,del
-3.227573696145125,del
-3.111473922902494,del
-3.111473922902494,del
-3.111473922902494,del
-3.111473922902494,del
-3.2275736961451216,del
-3.2275736961451216,del
-3.2275736961451216,del
-3.2275736961451216,del
-3.5526530612244898,del
-3.5526530612244898,del
-3.5526530612244898,del
-3.5526530612244898,del
-3.552653061224486,del
-3.5758730158730145,del
-3.5758730158730145,del
-3.5758730158730145,del
-3.5758730158730145,del
-3.808072562358273,del
-3.808072562358273,del
-3.808072562358273,del
-3.808072562358273,del
-3.924172335600904,del
-3.924172335600904,del
-3.924172335600904,del
-3.924172335600904,del
-3.924172335600904,del
-4.133151927437641,del
-4.133151927437641,del
-4.133151927437641,del
-4.133151927437641,del
-4.133151927437641,del
-4.133151927437641,del
-4.133151927437641,del
-4.133151927437641,del
-4.179591836734691,del
-4.179591836734691,del
-4.179591836734691,del
-4.179591836734691,del
-4.736870748299317,del
-6.315827664399095,del
-6.315827664399095,del
