0,39
28,85
57,112
86,154
114,182
143,211
172,240
200,268
229,297
258,328
287,357
315,393
344,420
373,453
401,481
430,517
459,546
473,573
488,589
502,603
516,617
531,621
545,632
559,643
574,657
583,668
592,677
592,677
601,686
610,695
610,695
619,704
628,713
628,713
637,722
645,730
654,739
663,748
663,748
672,757
681,766
681,766
690,775
699,784
699,784
708,793
717,802
726,808
735,814
735,814
744,823
753,832
753,832
762,841
771,850
771,850
780,859
789,868
798,871
807,878
807,878
816,887
825,896
825,896
834,905
843,914
843,914
852,923
861,932
870,941
879,946
879,946
888,955
897,964
897,964
906,973
915,982
915,982
924,991
933,1000
942,1006
951,1012
951,1012
960,1021
968,1029
968,1029
977,1038
986,1047
986,1047
995,1056
1004,1067
1022,1085
1022,1085
1022,1085
1022,1085
1040,1103
1040,1103
1040,1103
1040,1103
1058,1122
1058,1122
1058,1122
1058,1122
1076,1140
1094,1158
1094,1158
1094,1158
1094,1158
1112,1176
1112,1176
1112,1176
1112,1176
1130,1194
1130,1194
1130,1194
1130,1194
1148,1214
1166,1235
1166,1235
1166,1235
1166,1235
1184,1255
1184,1255
1184,1255
1184,1255
1202,1273
1202,1273
1202,1273
1202,1273
1220,1296
1238,1315
1238,1315
1238,1315
1238,1315
1256,1333
1256,1333
1256,1333
1256,1333
1274,1351
1274,1351
1274,1351
1274,1351
1291,1384
1327,1420
1327,1420
