Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo
0.0,0.9979166666666667,1.0,83.0,49.0,0.8126984126984127,0.7183189720332578,4/4,4,4,1,G,major,83.35433467741935
1.0,0.9979166666666667,1.0,79.0,49.0,1.5325170068027212,0.4634315948601663,4/4,4,4,1,G,major,129.19921875
2.0,0.9979166666666667,1.0,83.0,49.0,1.9969160997732427,0.32440211640211636,4/4,4,4,1,G,major,184.57031250000003
3.0,0.9979166666666667,1.0,79.0,49.0,2.3219954648526078,0.5097747543461828,4/4,4,4,1,G,major,117.45383522727275
4.0,0.9979166666666667,1.0,81.0,49.0,2.8328344671201813,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586
5.0,0.9979166666666667,1.0,76.0,49.0,3.5062131519274375,0.2548873771730913,4/4,4,4,1,G,major,234.9076704545456
6.0,0.9979166666666667,1.0,81.0,49.0,3.7616326530612243,0.5561179138322,4/4,4,4,1,G,major,107.66601562499991
7.0,0.9979166666666667,1.0,76.0,49.0,4.31891156462585,0.4170884353741501,4/4,4,4,1,G,major,143.55468749999986
8.0,0.9979166666666667,1.0,78.0,49.0,4.73687074829932,0.5097747543461826,4/4,4,4,1,G,major,117.4538352272728
9.0,0.9979166666666667,1.0,74.0,49.0,5.2477097505668935,0.44026001511715857,4/4,4,4,1,G,major,135.99917763157876
10.0,1.9979166666666666,1.0,78.0,49.0,5.688888888888889,0.9742222222222221,4/4,4,4,1,G,major,123.046875
11.0,0.9979166666666667,1.0,67.0,49.0,6.176507936507937,0.4170884353741492,4/4,4,4,1,G,major,143.55468750000017
12.0,0.9979166666666667,1.0,76.0,49.0,6.594467120181406,0.5329463340891927,4/4,4,4,1,G,major,112.34714673913014
13.0,0.9979166666666667,1.0,72.0,49.0,7.128526077097506,0.5097747543461826,4/4,4,4,1,G,major,117.4538352272728
14.0,1.9979166666666666,1.0,76.0,49.0,7.63936507936508,1.2989629629629604,4/4,4,4,1,G,major,92.28515625000017
15.0,0.9979166666666667,1.0,62.0,49.0,8.289523809523809,0.3012305366591088,4/4,4,4,1,G,major,198.76802884615336
16.0,0.4979166666666667,1.0,76.0,49.0,8.591383219954649,0.5318337112622827,4/4,4,4,1,G,major,56.17357336956522
