Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo
47.0,0.9979166666666667,1.0,79.0,49.0,26.51718820861678,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984
47.0,0.9979166666666667,1.0,64.0,49.0,26.51718820861678,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984
47.0,0.9979166666666667,1.0,67.0,49.0,26.51718820861678,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984
47.0,0.9979166666666667,1.0,72.0,49.0,26.51718820861678,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
48.0,3.997916666666667,1.0,52.0,49.0,26.93514739229025,1.578134542705967,4/4,4,4,1,G,major,151.99908088235335
49.0,0.9979166666666667,1.0,81.0,49.0,27.329886621315193,0.3939168556311402,4/4,4,4,1,G,major,151.99908088235338
49.0,0.9979166666666667,1.0,66.0,49.0,27.329886621315193,0.3939168556311402,4/4,4,4,1,G,major,151.99908088235338
49.0,0.9979166666666667,1.0,67.0,49.0,27.329886621315193,0.3939168556311402,4/4,4,4,1,G,major,151.99908088235338
49.0,0.9979166666666667,1.0,74.0,49.0,27.329886621315193,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
50.0,0.9979166666666667,1.0,76.0,49.0,27.74784580498866,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
50.0,0.9979166666666667,1.0,66.0,49.0,27.74784580498866,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
50.0,0.9979166666666667,1.0,67.0,49.0,27.74784580498866,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
50.0,0.9979166666666667,1.0,74.0,49.0,27.74784580498866,0.2548873771730911,4/4,4,4,1,G,major,234.90767045454578
51.0,0.9979166666666667,1.0,81.0,49.0,28.003265306122447,0.2548873771730911,4/4,4,4,1,G,major,234.90767045454578
51.0,0.9979166666666667,1.0,66.0,49.0,28.003265306122447,0.2548873771730911,4/4,4,4,1,G,major,234.90767045454578
51.0,0.9979166666666667,1.0,67.0,49.0,28.003265306122447,0.2548873771730911,4/4,4,4,1,G,major,234.90767045454578
51.0,0.9979166666666667,1.0,74.0,49.0,28.003265306122447,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
52.0,3.997916666666667,1.0,52.0,49.0,28.421224489795918,1.2068087679516275,4/4,4,4,1,G,major,198.76802884615344
53.0,0.9979166666666667,1.0,83.0,49.0,28.723083900226758,0.30123053665910865,4/4,4,4,1,G,major,198.76802884615347
53.0,0.9979166666666667,1.0,67.0,49.0,28.723083900226758,0.30123053665910865,4/4,4,4,1,G,major,198.76802884615347
53.0,0.9979166666666667,1.0,72.0,49.0,28.723083900226758,0.30123053665910865,4/4,4,4,1,G,major,198.76802884615347
53.0,0.9979166666666667,1.0,76.0,49.0,28.723083900226758,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
54.0,0.9979166666666667,1.0,81.0,49.0,29.141043083900225,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
54.0,0.9979166666666667,1.0,67.0,49.0,29.141043083900225,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
54.0,0.9979166666666667,1.0,72.0,49.0,29.141043083900225,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
54.0,0.9979166666666667,1.0,76.0,49.0,29.141043083900225,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
55.0,0.9979166666666667,1.0,83.0,49.0,29.559002267573696,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
55.0,0.9979166666666667,1.0,67.0,49.0,29.559002267573696,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
55.0,0.9979166666666667,1.0,72.0,49.0,29.559002267573696,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
55.0,0.9979166666666667,1.0,76.0,49.0,29.559002267573696,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
56.0,3.997916666666667,1.0,52.0,88.0,29.976961451247167,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085
57.0,0.9979166666666667,1.0,84.0,88.0,30.394920634920634,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
57.0,0.9979166666666667,1.0,69.0,88.0,30.394920634920634,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
57.0,0.9979166666666667,1.0,74.0,88.0,30.394920634920634,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
57.0,0.9979166666666667,1.0,78.0,88.0,30.394920634920634,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984
58.0,0.9979166666666667,1.0,83.0,88.0,30.812879818594105,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984
58.0,0.9979166666666667,1.0,69.0,88.0,30.812879818594105,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984
58.0,0.9979166666666667,1.0,74.0,88.0,30.812879818594105,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984
58.0,0.9979166666666667,1.0,78.0,88.0,30.812879818594105,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
59.0,0.9979166666666667,1.0,84.0,88.0,31.230839002267572,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
59.0,0.9979166666666667,1.0,69.0,88.0,31.230839002267572,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
59.0,0.9979166666666667,1.0,74.0,88.0,31.230839002267572,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
59.0,0.9979166666666667,1.0,78.0,88.0,31.230839002267572,0.39391685563114376,4/4,4,4,1,G,major,151.999080882352
60.0,3.997916666666667,1.0,52.0,88.0,31.62557823129252,4.130999244142101,4/4,4,4,1,G,major,58.067064606741575
62.0,1.9979166666666666,1.0,102.0,62.0,33.69215419501134,2.06442328042328,4/4,4,4,1,G,major,58.06706460674159
62.0,1.9979166666666666,1.0,107.0,62.0,33.69215419501134,2.06442328042328,4/4,4,4,1,G,major,58.06706460674159
