Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff
26.0,0.4979166666666667,1.0,69.0,88.0,15.833342,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
26.5,0.4979166666666667,1.0,71.0,88.0,16.0416755,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
27.0,0.9979166666666667,1.0,67.0,88.0,16.250009,0.41579894375,4/4,4,4,1,G,major,143.99988480009216,0,0
27.0,0.4979166666666667,1.0,67.0,88.0,16.250009,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
27.5,0.4979166666666667,1.0,71.0,88.0,16.4583425,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
28.0,3.997916666666667,1.0,52.0,88.0,16.666676000000002,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216,0,0
28.5,0.4979166666666667,1.0,71.0,88.0,16.8750095,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
29.0,0.9979166666666667,1.0,71.0,88.0,17.083343,0.41579894375,4/4,4,4,1,G,major,143.99988480009216,0,0
29.0,0.4979166666666667,1.0,71.0,88.0,17.083343,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
29.5,0.4979166666666667,1.0,71.0,88.0,17.2916765,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
30.0,0.9979166666666667,1.0,70.0,88.0,17.50001,0.41579894375,4/4,4,4,1,G,major,143.99988480009216,0,0
30.0,0.4979166666666667,1.0,70.0,88.0,17.50001,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
30.5,0.4979166666666667,1.0,71.0,88.0,17.708343499999998,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
31.0,0.9979166666666667,1.0,71.0,88.0,17.916677,0.41579894375,4/4,4,4,1,G,major,143.99988480009216,0,0
