Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff
11.0,0.9979166666666667,1.0,67.0,49.0,11.284897959183674,0.741490551776265,4/4,4,4,1,G,major,80.74951171875011,3.9515609591836736,0.07621244135959826
12.0,0.9979166666666667,1.0,76.0,49.0,12.027936507936507,1.13540740740741,4/4,4,4,1,G,major,52.73437499999987,4.027932507936507,0.47012929699074335
13.0,0.9979166666666667,1.0,72.0,49.0,13.165714285714285,0.6488042328042334,4/4,4,4,1,G,major,92.28515624999991,4.499043285714286,-0.016473877612433352
14.0,1.9979166666666666,1.0,76.0,49.0,13.815873015873017,2.2731851851851843,4/4,4,4,1,G,major,52.73437500000002,4.482535015873017,0.9412400747685177
15.0,0.9979166666666667,1.0,62.0,49.0,14.953650793650795,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,4.953645793650795,0.006697702130573635
16.0,0.4979166666666667,1.0,76.0,49.0,15.62702947845805,0.601203325774754,4/4,4,4,1,G,major,49.69200721153849,4.96035747845805,0.2692587153580873
16.5,0.4979166666666667,1.0,72.0,54.0,16.23074829931973,0.34684807256235634,4/4,4,4,1,G,major,86.13281250000048,5.230742799319728,0.014903462145689661
17.0,0.4979166666666667,1.0,67.0,60.0,16.579047619047618,0.32372486772487064,4/4,4,4,1,G,major,92.28515624999918,5.245708619047617,-0.00821974269179604
17.5,0.4979166666666667,1.0,62.0,65.0,16.904126984126986,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,5.237454484126985,-0.008219742691799536
18.0,0.4979166666666667,1.0,67.0,71.0,17.22920634920635,0.3468480725623582,4/4,4,4,1,G,major,86.13281250000001,5.22920034920635,0.014903462145691548
18.5,0.4979166666666667,1.0,62.0,76.0,17.57750566893424,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,5.244166168934241,-0.008219742691799536
19.0,0.4979166666666667,1.0,57.0,82.0,17.902585034013605,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,5.235912034013605,-0.008219742691799536
19.5,0.4979166666666667,1.0,58.0,88.0,18.22766439909297,0.3468480725623599,4/4,4,4,1,G,major,86.1328124999996,5.22765789909297,0.014903462145693214
20.0,3.997916666666667,1.0,52.0,88.0,18.575963718820862,2.0422917611489018,4/4,4,4,1,G,major,117.45383522727286,5.242623718820862,0.3764918173989016
20.5,0.4979166666666667,1.0,71.0,88.0,18.83138321995465,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,5.289709719954649,0.0006433997874137343
21.0,0.9979166666666667,1.0,71.0,88.0,19.040362811791383,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,5.2903558117913825,0.0012894916241472099
21.0,0.4979166666666667,1.0,71.0,88.0,19.040362811791383,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,5.2903558117913825,0.0006433997874137343
21.5,0.4979166666666667,1.0,71.0,88.0,19.249342403628116,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,5.291001903628116,0.000643399787417287
22.0,0.9979166666666667,1.0,70.0,88.0,19.458321995464853,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,5.291647995464853,0.0012894916241543153
22.0,0.4979166666666667,1.0,70.0,88.0,19.458321995464853,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,5.291647995464853,0.0006433997874137343
