Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff
0.0,0.9979166666666667,1.0,83.0,49.0,0.9287981859410431,0.9500347694633409,4/4,4,4,1,G,major,63.02400914634147,0.9287981859410431,0.28475665904667413
1.0,0.9979166666666667,1.0,79.0,49.0,1.8808163265306121,0.5792894935752078,4/4,4,4,1,G,major,103.35937500000001,1.2141493265306122,-0.08598861684145898
2.0,0.9979166666666667,1.0,83.0,49.0,2.461315192743764,0.8805200302343162,4/4,4,4,1,G,major,67.99958881578945,1.127981192743764,0.2152419198176495
3.0,0.9979166666666667,1.0,79.0,49.0,3.3436734693877552,0.6488042328042329,4/4,4,4,1,G,major,92.28515624999999,1.343672469387755,-0.016473877612433796
4.0,0.9979166666666667,1.0,81.0,49.0,3.9938321995464854,0.8573484504913077,4/4,4,4,1,G,major,69.83741554054053,1.3271641995464853,0.19207034007464097
5.0,0.9979166666666667,1.0,76.0,49.0,4.85297052154195,0.6951473922902491,4/4,4,4,1,G,major,86.13281250000004,1.5196355215419501,0.0298692818735824
6.0,0.9979166666666667,1.0,81.0,49.0,5.5495691609977325,0.8110052910052916,4/4,4,4,1,G,major,73.82812499999994,1.5495671609977322,0.14572718058862488
7.0,0.9979166666666667,1.0,76.0,49.0,6.362267573696145,0.7646621315192748,4/4,4,4,1,G,major,78.30255681818178,1.6955985736961452,0.09938402110260802
8.0,0.9979166666666667,1.0,78.0,49.0,7.128526077097506,0.741490551776265,4/4,4,4,1,G,major,80.74951171875011,1.795190077097506,0.07621244135959826
9.0,0.9979166666666667,1.0,74.0,49.0,7.87156462585034,0.7878337112622836,4/4,4,4,1,G,major,75.99954044117638,1.8715616258503394,0.1225556008456169
10.0,1.9979166666666666,1.0,78.0,49.0,8.661043083900227,1.4381375661375664,4/4,4,4,1,G,major,83.35433467741933,1.9943730839002267,0.10619245572089975
11.0,0.9979166666666667,1.0,67.0,49.0,9.380861678004536,0.7183189720332562,4/4,4,4,1,G,major,83.35433467741953,2.0475246780045353,0.053040861616589496
12.0,0.9979166666666667,1.0,76.0,49.0,10.100680272108843,0.8805200302343184,4/4,4,4,1,G,major,67.9995888157893,2.100676272108842,0.21524191981765162
13.0,0.9979166666666667,1.0,72.0,49.0,10.983038548752834,0.718318972033258,4/4,4,4,1,G,major,83.35433467741933,2.316367548752835,0.05304086161659127
14.0,1.9979166666666666,1.0,76.0,49.0,11.702857142857143,2.134010582010582,4/4,4,4,1,G,major,56.17357336956522,2.3695191428571434,0.8020654715939153
15.0,0.9979166666666667,1.0,62.0,49.0,12.770975056689343,0.7183189720332562,4/4,4,4,1,G,major,83.35433467741953,2.770970056689343,0.053040861616589496
16.0,0.4979166666666667,1.0,76.0,49.0,13.49079365079365,0.4624640967498114,4/4,4,4,1,G,major,64.59960937499994,2.82412165079365,0.13051948633314475
16.5,0.4979166666666667,1.0,72.0,54.0,13.955192743764172,0.3468480725623581,4/4,4,4,1,G,major,86.13281250000004,2.955187243764172,0.014903462145691437
17.0,0.4979166666666667,1.0,67.0,60.0,14.303492063492063,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.970153063492063,-0.008219742691799536
17.5,0.4979166666666667,1.0,62.0,65.0,14.628571428571428,0.09249281934996229,4/4,4,4,1,G,major,322.9980468749997,2.9618989285714274,-0.2394517910667044
18.0,0.4979166666666667,1.0,67.0,71.0,14.721451247165533,0.02312320483749114,4/4,4,4,1,G,major,1291.9921874999673,2.7214452471655317,-0.30882140557917553
18.5,0.4979166666666667,1.0,62.0,76.0,14.744671201814059,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.41133170181406,-0.008219742691799536
19.0,0.4979166666666667,1.0,57.0,82.0,15.069750566893424,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.4030775668934243,-0.008219742691799536
19.5,0.4979166666666667,1.0,58.0,88.0,15.394829931972788,0.3468480725623581,4/4,4,4,1,G,major,86.13281250000004,2.394823431972789,0.014903462145691437
20.0,3.997916666666667,1.0,52.0,88.0,15.74312925170068,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,2.40978925170068,0.00516604264456233
20.5,0.4979166666666667,1.0,71.0,88.0,15.952108843537415,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.410435343537415,0.0006433997874155384
21.0,0.9979166666666667,1.0,71.0,88.0,16.16108843537415,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,2.4110814353741503,0.001289491624150818
21.0,0.4979166666666667,1.0,71.0,88.0,16.16108843537415,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.4110814353741503,0.0006433997874137343
21.5,0.4979166666666667,1.0,71.0,88.0,16.370068027210884,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.411727527210884,0.0006433997874137343
22.0,0.9979166666666667,1.0,70.0,88.0,16.579047619047618,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,2.4123736190476173,0.0012894916241472099
22.0,0.4979166666666667,1.0,70.0,88.0,16.579047619047618,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,2.4123736190476173,0.000643399787417287
22.5,0.4979166666666667,1.0,71.0,88.0,16.788027210884355,0.231232048374903,4/4,4,4,1,G,major,129.19921875000142,2.4130197108843543,0.023766604624902987
23.0,0.9979166666666667,1.0,71.0,88.0,17.020226757369613,0.46343159486016117,4/4,4,4,1,G,major,129.19921875000145,2.4368857573696125,0.047632651110161184
23.0,0.4979166666666667,1.0,71.0,88.0,17.020226757369613,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,2.4368857573696125,0.0006433997874190911
23.5,0.4979166666666667,1.0,71.0,88.0,17.22920634920635,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991,2.4375318492063514,-0.02247980505007549
24.0,3.997916666666667,1.0,52.0,88.0,17.41496598639456,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085,2.41495798639456,0.005166042644547897
24.5,0.4979166666666667,1.0,71.0,88.0,17.623945578231293,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.4156040782312935,0.0006433997874137343
25.0,0.9979166666666667,1.0,70.0,88.0,17.832925170068027,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,2.416250170068027,0.0012894916241472099
25.0,0.4979166666666667,1.0,70.0,88.0,17.832925170068027,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.416250170068027,0.0006433997874137343
25.5,0.4979166666666667,1.0,71.0,88.0,18.04190476190476,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,2.4168962619047605,0.000643399787417287
26.0,0.9979166666666667,1.0,69.0,88.0,18.250884353741498,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,2.4175423537414975,0.0012894916241543153
26.0,0.4979166666666667,1.0,69.0,88.0,18.250884353741498,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.4175423537414975,0.0006433997874137343
26.5,0.4979166666666667,1.0,71.0,88.0,18.45986394557823,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.418188445578231,0.0006433997874155384
27.0,0.9979166666666667,1.0,67.0,88.0,18.668843537414965,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,2.4188345374149662,0.001289491624150818
27.0,0.4979166666666667,1.0,67.0,88.0,18.668843537414965,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.4188345374149662,0.0006433997874155384
27.5,0.4979166666666667,1.0,71.0,88.0,18.877823129251702,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,2.4194806292517015,0.0006433997874119857
28.0,3.997916666666667,1.0,52.0,88.0,19.086802721088436,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,2.420126721088433,0.00516604264456233
28.5,0.4979166666666667,1.0,71.0,88.0,19.29578231292517,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,2.4207728129251684,0.0006433997874190911
29.0,0.9979166666666667,1.0,71.0,88.0,19.504761904761907,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972,2.4214189047619072,0.0012894916241579235
29.0,0.4979166666666667,1.0,71.0,88.0,19.504761904761907,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,2.4214189047619072,0.0006433997874119857
29.5,0.4979166666666667,1.0,71.0,88.0,19.71374149659864,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.422064996598639,0.0006433997874155384
30.0,0.9979166666666667,1.0,70.0,88.0,19.922721088435374,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,2.422711088435374,0.001289491624150818
30.0,0.4979166666666667,1.0,70.0,88.0,19.922721088435374,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.422711088435374,0.0006433997874155384
30.5,0.4979166666666667,1.0,71.0,88.0,20.131700680272107,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.4233571802721094,0.0006433997874155384
31.0,0.9979166666666667,1.0,71.0,88.0,20.340680272108845,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,2.4240032721088447,0.001289491624150818
31.0,0.4979166666666667,1.0,71.0,88.0,20.340680272108845,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,2.4240032721088447,0.0006433997874119857
31.5,0.4979166666666667,1.0,71.0,88.0,20.54965986394558,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.4246493639455764,0.0006433997874155384
32.0,3.997916666666667,1.0,52.0,88.0,20.758639455782312,1.670965986394591,4/4,4,4,1,G,major,143.55468749999716,2.4252954557823116,0.0051660426445907515
32.5,0.4979166666666667,1.0,71.0,88.0,20.96761904761905,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,2.4259415476190505,0.0006433997874119857
33.0,0.9979166666666667,1.0,74.0,88.0,21.176598639455783,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,2.426587639455782,0.0012894916241437127
33.0,0.4979166666666667,1.0,74.0,88.0,21.176598639455783,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,2.426587639455782,0.0006433997874119857
33.5,0.4979166666666667,1.0,71.0,88.0,21.385578231292516,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,2.427233731292514,0.0006433997874190911
34.0,0.9979166666666667,1.0,73.0,88.0,21.59455782312925,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972,2.4278798231292527,0.0012894916241579235
34.0,0.4979166666666667,1.0,73.0,88.0,21.59455782312925,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.4278798231292527,0.0006433997874155384
34.5,0.4979166666666667,1.0,71.0,88.0,21.803537414965987,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,2.428525914965988,0.0006433997874119857
35.0,0.9979166666666667,1.0,72.0,88.0,22.01251700680272,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,2.4291720068027196,0.0012894916241437127
35.0,0.4979166666666667,1.0,72.0,88.0,22.01251700680272,0.32372486772486975,4/4,4,4,1,G,major,92.28515624999943,2.4291720068027196,0.11625942397486974
35.5,0.4979166666666667,1.0,71.0,88.0,22.337596371882086,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.545917871882086,0.0006433997874155384
36.0,3.997916666666667,1.0,57.0,88.0,22.54657596371882,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,2.546563963718821,0.00516604264456233
