Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff
0.0,0.9979166666666667,1.0,83.0,49.0,0.9287981859410431,0.9036916099773243,4/4,4,4,1,G,major,66.25600961538461,0.9287981859410431,0.2384134995606576
1.0,0.9979166666666667,1.0,79.0,49.0,1.8343764172335602,0.48660317460317465,4/4,4,4,1,G,major,123.046875,1.16770941723356,-0.1786749358134921
2.0,0.9979166666666667,1.0,83.0,49.0,2.3219954648526078,0.8573484504913075,4/4,4,4,1,G,major,69.83741554054055,0.9886614648526078,0.19207034007464074
3.0,0.9979166666666667,1.0,79.0,49.0,3.1811337868480725,0.6488042328042329,4/4,4,4,1,G,major,92.28515624999999,1.1811327868480723,-0.016473877612433796
4.0,0.9979166666666667,1.0,81.0,49.0,3.8312925170068026,0.69514739229025,4/4,4,4,1,G,major,86.13281249999993,1.1646245170068026,0.029869281873583287
5.0,0.9979166666666667,1.0,76.0,49.0,4.527891156462585,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,1.1945561564625855,0.006697702130573635
6.0,0.9979166666666667,1.0,81.0,49.0,5.201269841269841,0.7878337112622836,4/4,4,4,1,G,major,75.99954044117638,1.201267841269841,0.1225556008456169
7.0,0.9979166666666667,1.0,76.0,49.0,5.990748299319728,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,1.3240792993197283,0.006697702130573635
8.0,0.9979166666666667,1.0,78.0,49.0,6.664126984126984,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586,1.3307909841269838,0.006697702130574523
9.0,0.9979166666666667,1.0,74.0,49.0,7.337505668934241,0.7183189720332581,4/4,4,4,1,G,major,83.35433467741932,1.3375026689342402,0.053040861616591384
10.0,1.9979166666666666,1.0,78.0,49.0,8.057324263038549,1.298962962962964,4/4,4,4,1,G,major,92.28515624999991,1.3906542630385488,-0.03298214745370265
